#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
117,7916.607000,-7.419439
118,7916.608000,-7.322863
119,7916.609000,-7.13892
120,7916.610000,-7.011392
121,7916.611000,-6.965281
122,7916.612000,-6.868886
123,7916.613000,-6.759804
124,7916.614000,-6.685362
125,7916.615000,-6.636053
126,7916.616000,-6.618803
127,7916.617000,-6.643916
128,7916.618000,-6.661139
129,7916.619000,-6.672684
130,7916.620000,-6.712986
131,7916.621000,-6.773216
132,7916.622000,-6.807907
133,7916.623000,-6.817111
134,7916.624000,-6.817263
135,7916.625000,-6.796914
136,7916.626000,-6.79567
137,7916.627000,-6.815692
138,7916.628000,-6.827734
139,7916.629000,-6.840612
140,7916.630000,-6.842363
141,7916.631000,-6.828672
142,7916.632000,-6.81148
143,7916.633000,-6.7866
144,7916.634000,-6.808832
145,7916.635000,-6.88458
146,7916.636000,-6.984334
147,7916.637000,-7.123898
148,7916.638000,-6.997332
149,7916.639000,-6.574171
150,7916.640000,-6.587934
151,7916.641000,-7.011586
152,7916.642000,-7.075574
153,7916.643000,-6.889791
154,7916.644000,-6.880196
155,7916.645000,-6.936024
156,7916.646000,-6.943728
157,7916.647000,-6.953088
158,7916.648000,-6.963217
159,7916.649000,-6.965445
160,7916.650000,-7.00598
161,7916.651000,-7.00297
162,7916.652000,-7.02361
163,7916.653000,-7.040708
164,7916.654000,-7.040035
165,7916.655000,-7.019717
166,7916.656000,-6.98842
167,7916.657000,-6.94072
168,7916.658000,-6.85562
169,7916.659000,-6.730214
170,7916.660000,-6.568999
171,7916.661000,-6.364636
172,7916.662000,-6.440019
173,7916.663000,-6.825325
174,7916.664000,-7.033841
175,7916.665000,-7.122992
176,7916.666000,-7.167777
177,7916.667000,-7.073416
178,7916.668000,-6.901048
179,7916.669000,-6.433408
180,7916.670000,-6.279269
181,7916.671000,-6.390182
182,7916.672000,-6.507818
183,7916.673000,-6.738865
184,7916.674000,-6.888415
185,7916.675000,-6.922502
186,7916.676000,-7.001204
187,7916.677000,-7.071817
188,7916.678000,-7.028859
189,7916.679000,-6.874787
190,7916.680000,-6.602393
191,7916.681000,-6.180298
192,7916.682000,-5.952724
193,7916.683000,-5.935297
194,7916.684000,-6.064903
195,7916.685000,-6.439152
196,7916.686000,-6.68769
197,7916.687000,-6.811069
198,7916.688000,-7.070424
199,7916.689000,-7.393471
200,7916.690000,-7.0347
201,7916.691000,-5.994343
202,7916.692000,-5.693759
203,7916.693000,-6.066767
204,7916.694000,-6.081723
205,7916.695000,-5.993729
206,7916.696000,-6.388291
207,7916.697000,-7.178504
208,7916.698000,-7.439431
209,7916.699000,-7.202407
210,7916.700000,-6.930545
211,7916.701000,-6.425725
212,7916.702000,-6.150421
213,7916.703000,-6.170697
214,7916.704000,-6.115385
215,7916.705000,-6.104677
216,7916.706000,-6.186732
217,7916.707000,-6.333898
218,7916.708000,-6.552975
219,7916.709000,-6.847941
220,7916.710000,-6.936613
221,7916.711000,-6.792849
222,7916.712000,-6.548865
223,7916.713000,-6.124327
224,7916.714000,-5.929137
