#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
116,7916.606000,-1.760087
117,7916.607000,-1.74254
118,7916.608000,-1.719771
119,7916.609000,-1.692487
120,7916.610000,-1.71706
121,7916.611000,-1.79845
122,7916.612000,-1.818709
123,7916.613000,-1.784382
124,7916.614000,-1.822288
125,7916.615000,-1.598959
126,7916.616000,-1.459524
127,7916.617000,-1.598167
128,7916.618000,-1.751454
129,7916.619000,-1.690424
130,7916.620000,-1.671645
131,7916.621000,-1.814406
132,7916.622000,-1.828803
133,7916.623000,-1.70469
134,7916.624000,-1.62687
135,7916.625000,-1.557411
136,7916.626000,-1.654076
137,7916.627000,-1.804207
138,7916.628000,-1.864448
139,7916.629000,-1.801983
140,7916.630000,-1.768884
141,7916.631000,-1.664388
142,7916.632000,-1.690279
143,7916.633000,-1.851043
144,7916.634000,-1.659257
145,7916.635000,-1.463934
146,7916.636000,-1.490386
147,7916.637000,-1.429441
148,7916.638000,-1.576065
149,7916.639000,-1.863595
150,7916.640000,-2.029602
151,7916.641000,-1.982155
152,7916.642000,-1.934109
153,7916.643000,-1.778203
154,7916.644000,-1.924177
155,7916.645000,-1.83952
156,7916.646000,-1.558126
157,7916.647000,-1.682462
158,7916.648000,-1.993145
159,7916.649000,-1.818147
160,7916.650000,-1.676501
161,7916.651000,-1.85179
162,7916.652000,-1.960451
163,7916.653000,-1.624294
164,7916.654000,-1.708888
165,7916.655000,-1.992995
166,7916.656000,-1.880655
167,7916.657000,-1.696141
168,7916.658000,-1.85737
169,7916.659000,-2.043771
170,7916.660000,-1.972743
171,7916.661000,-1.904957
172,7916.662000,-2.057683
173,7916.663000,-2.02386
174,7916.664000,-2.032652
175,7916.665000,-2.098517
176,7916.666000,-2.03157
177,7916.667000,-1.839168
178,7916.668000,-2.032873
179,7916.669000,-2.235041
180,7916.670000,-2.151004
181,7916.671000,-1.956233
182,7916.672000,-2.16897
183,7916.673000,-2.188434
184,7916.674000,-2.129012
185,7916.675000,-2.359853
186,7916.676000,-2.39509
187,7916.677000,-2.304944
188,7916.678000,-2.232649
189,7916.679000,-2.196378
190,7916.680000,-2.247938
191,7916.681000,-2.244324
192,7916.682000,-2.277627
193,7916.683000,-2.575193
194,7916.684000,-2.62294
195,7916.685000,-2.347939
196,7916.686000,-2.32739
197,7916.687000,-2.445247
198,7916.688000,-2.350023
199,7916.689000,-2.188514
200,7916.690000,-2.233124
201,7916.691000,-2.207546
202,7916.692000,-2.216881
203,7916.693000,-2.289723
204,7916.694000,-2.297733
205,7916.695000,-2.260806
206,7916.696000,-2.28308
207,7916.697000,-2.314134
208,7916.698000,-2.394951
209,7916.699000,-2.39787
210,7916.700000,-2.365745
211,7916.701000,-2.245121
212,7916.702000,-2.272284
213,7916.703000,-2.285597
214,7916.704000,-2.262053
215,7916.705000,-2.299381
216,7916.706000,-2.379929
217,7916.707000,-2.263503
218,7916.708000,-2.16444
219,7916.709000,-2.038879
220,7916.710000,-2.087159
221,7916.711000,-2.320243
222,7916.712000,-2.471304
223,7916.713000,-2.447629
