#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
117,7916.607000,-3.311394
118,7916.608000,-3.285581
119,7916.609000,-3.261343
120,7916.610000,-3.307954
121,7916.611000,-3.432582
122,7916.612000,-3.530088
123,7916.613000,-3.61331
124,7916.614000,-3.414662
125,7916.615000,-3.214352
126,7916.616000,-3.164711
127,7916.617000,-3.053758
128,7916.618000,-3.212078
129,7916.619000,-3.214307
130,7916.620000,-3.281551
131,7916.621000,-3.466196
132,7916.622000,-3.433959
133,7916.623000,-3.332645
134,7916.624000,-3.209129
135,7916.625000,-3.036368
136,7916.626000,-3.029405
137,7916.627000,-3.159678
138,7916.628000,-3.179369
139,7916.629000,-3.102153
140,7916.630000,-2.876859
141,7916.631000,-2.72578
142,7916.632000,-2.865658
143,7916.633000,-3.431849
144,7916.634000,-3.926297
145,7916.635000,-4.101393
146,7916.636000,-3.741369
147,7916.637000,-2.986318
148,7916.638000,-2.495603
149,7916.639000,-2.345029
150,7916.640000,-2.830442
151,7916.641000,-3.406177
152,7916.642000,-3.741482
153,7916.643000,-3.577641
154,7916.644000,-3.271713
155,7916.645000,-3.097247
156,7916.646000,-2.928313
157,7916.647000,-3.036233
158,7916.648000,-3.297053
159,7916.649000,-3.048611
160,7916.650000,-3.340828
161,7916.651000,-3.236846
162,7916.652000,-2.970953
163,7916.653000,-2.912479
164,7916.654000,-2.936526
165,7916.655000,-3.263557
166,7916.656000,-3.731586
167,7916.657000,-3.896594
168,7916.658000,-3.531384
169,7916.659000,-2.753478
170,7916.660000,-2.1854
171,7916.661000,-2.214399
172,7916.662000,-2.859961
173,7916.663000,-3.768902
174,7916.664000,-4.075022
175,7916.665000,-3.661058
176,7916.666000,-3.109696
177,7916.667000,-2.181562
178,7916.668000,-2.070811
179,7916.669000,-2.516366
180,7916.670000,-2.962991
181,7916.671000,-3.603808
182,7916.672000,-3.764042
183,7916.673000,-3.30075
184,7916.674000,-2.85785
185,7916.675000,-2.458653
186,7916.676000,-2.424273
187,7916.677000,-2.667264
188,7916.678000,-2.958841
189,7916.679000,-3.103393
190,7916.680000,-3.09752
191,7916.681000,-2.9632
192,7916.682000,-2.724732
193,7916.683000,-2.671242
194,7916.684000,-2.735232
195,7916.685000,-2.913532
196,7916.686000,-2.944598
197,7916.687000,-2.794049
198,7916.688000,-2.750998
199,7916.689000,-2.667053
200,7916.690000,-2.622367
201,7916.691000,-2.623188
202,7916.692000,-2.672265
203,7916.693000,-2.696983
204,7916.694000,-2.740183
205,7916.695000,-2.76592
206,7916.696000,-2.765784
207,7916.697000,-2.689322
208,7916.698000,-2.707479
209,7916.699000,-2.671787
210,7916.700000,-2.731335
211,7916.701000,-2.856704
212,7916.702000,-2.833529
213,7916.703000,-2.827142
214,7916.704000,-2.81368
215,7916.705000,-2.69504
216,7916.706000,-2.664846
217,7916.707000,-2.618619
218,7916.708000,-2.607927
219,7916.709000,-2.69986
220,7916.710000,-2.807627
221,7916.711000,-3.003998
222,7916.712000,-3.157368
223,7916.713000,-3.148692
224,7916.714000,-2.987612
