#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
117,7916.607000,-11.29324
118,7916.608000,-11.30278
119,7916.609000,-11.34247
120,7916.610000,-11.33919
121,7916.611000,-11.29822
122,7916.612000,-11.22777
123,7916.613000,-11.15675
124,7916.614000,-11.07558
125,7916.615000,-10.99848
126,7916.616000,-10.95572
127,7916.617000,-10.97385
128,7916.618000,-10.96806
129,7916.619000,-11.00428
130,7916.620000,-11.01937
131,7916.621000,-11.02185
132,7916.622000,-11.04353
133,7916.623000,-11.06064
134,7916.624000,-11.05305
135,7916.625000,-11.03849
136,7916.626000,-11.03541
137,7916.627000,-11.04838
138,7916.628000,-11.05524
139,7916.629000,-11.09751
140,7916.630000,-11.13176
141,7916.631000,-11.12649
142,7916.632000,-11.15888
143,7916.633000,-11.20861
144,7916.634000,-11.23065
145,7916.635000,-11.16425
146,7916.636000,-11.16627
147,7916.637000,-11.20801
148,7916.638000,-11.24419
149,7916.639000,-11.29502
150,7916.640000,-11.34825
151,7916.641000,-11.32876
152,7916.642000,-11.28902
153,7916.643000,-11.23223
154,7916.644000,-11.32557
155,7916.645000,-11.51553
156,7916.646000,-11.60826
157,7916.647000,-11.56265
158,7916.648000,-11.51045
159,7916.649000,-11.43526
160,7916.650000,-11.39106
161,7916.651000,-11.40672
162,7916.652000,-11.34692
163,7916.653000,-11.22861
164,7916.654000,-11.16882
165,7916.655000,-11.43124
166,7916.656000,-11.66308
167,7916.657000,-11.83653
168,7916.658000,-11.86754
169,7916.659000,-11.75643
170,7916.660000,-11.64157
171,7916.661000,-11.5125
172,7916.662000,-11.38978
173,7916.663000,-11.30675
174,7916.664000,-11.27701
175,7916.665000,-11.3247
176,7916.666000,-11.47379
177,7916.667000,-11.71619
178,7916.668000,-11.75824
179,7916.669000,-11.809
180,7916.670000,-11.70397
181,7916.671000,-11.52579
182,7916.672000,-11.4503
183,7916.673000,-11.37976
184,7916.674000,-11.33837
185,7916.675000,-11.32604
186,7916.676000,-11.46635
187,7916.677000,-11.58148
188,7916.678000,-11.64077
189,7916.679000,-11.62434
190,7916.680000,-11.5881
191,7916.681000,-11.50968
192,7916.682000,-11.50342
193,7916.683000,-11.63786
194,7916.684000,-11.66417
195,7916.685000,-11.62687
196,7916.686000,-11.60546
197,7916.687000,-11.56679
198,7916.688000,-11.55128
199,7916.689000,-11.59088
200,7916.690000,-11.64545
201,7916.691000,-11.65563
202,7916.692000,-11.61275
203,7916.693000,-11.53109
204,7916.694000,-11.55376
205,7916.695000,-11.67242
206,7916.696000,-11.61731
207,7916.697000,-11.45605
208,7916.698000,-11.41485
209,7916.699000,-11.47945
210,7916.700000,-11.47014
211,7916.701000,-11.4269
212,7916.702000,-11.39315
213,7916.703000,-11.34506
214,7916.704000,-11.29952
215,7916.705000,-11.25871
216,7916.706000,-11.24267
217,7916.707000,-11.18843
218,7916.708000,-11.17901
219,7916.709000,-11.2023
220,7916.710000,-11.14997
221,7916.711000,-11.19702
222,7916.712000,-11.33653
223,7916.713000,-11.39327
224,7916.714000,-11.42517
