#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
117,7588.020000,-1.504187
118,7588.021000,-1.474901
119,7588.022000,-1.474483
120,7588.023000,-1.46388
121,7588.024000,-1.487989
122,7588.025000,-1.469597
123,7588.026000,-1.473445
124,7588.027000,-1.472969
125,7588.028000,-1.473098
126,7588.029000,-1.473812
127,7588.030000,-1.472985
128,7588.031000,-1.470547
129,7588.032000,-1.475407
130,7588.033000,-1.473241
131,7588.034000,-1.471512
132,7588.035000,-1.47365
133,7588.036000,-1.473558
134,7588.037000,-1.474
135,7588.038000,-1.473852
136,7588.039000,-1.473021
137,7588.040000,-1.471583
138,7588.041000,-1.469302
139,7588.042000,-1.468546
140,7588.043000,-1.469441
141,7588.044000,-1.463894
142,7588.045000,-1.465396
143,7588.046000,-1.462051
144,7588.047000,-1.457287
145,7588.048000,-1.448177
146,7588.049000,-1.433655
147,7588.050000,-1.446936
148,7588.051000,-1.463699
149,7588.052000,-1.444694
150,7588.053000,-1.434252
151,7588.054000,-1.424703
152,7588.055000,-1.428404
153,7588.056000,-1.427772
154,7588.057000,-1.42793
155,7588.058000,-1.414086
156,7588.059000,-1.399736
157,7588.060000,-1.424552
158,7588.061000,-1.399264
159,7588.062000,-1.397755
160,7588.063000,-1.388476
161,7588.064000,-1.397711
162,7588.065000,-1.421558
163,7588.066000,-1.356512
164,7588.067000,-1.364712
165,7588.068000,-1.368308
166,7588.069000,-1.375097
167,7588.070000,-1.356044
168,7588.071000,-1.346301
169,7588.072000,-1.357578
170,7588.073000,-1.341118
171,7588.074000,-1.339832
172,7588.075000,-1.335233
173,7588.076000,-1.33041
174,7588.077000,-1.324941
175,7588.078000,-1.322588
176,7588.079000,-1.323516
177,7588.080000,-1.307448
178,7588.081000,-1.311413
179,7588.082000,-1.304916
180,7588.083000,-1.30025
181,7588.084000,-1.297381
182,7588.085000,-1.296457
183,7588.086000,-1.285957
184,7588.087000,-1.285813
185,7588.088000,-1.280423
186,7588.089000,-1.276319
187,7588.090000,-1.269447
188,7588.091000,-1.259651
189,7588.092000,-1.262229
190,7588.093000,-1.266283
191,7588.094000,-1.234498
192,7588.095000,-1.248337
193,7588.096000,-1.238574
194,7588.097000,-1.233566
195,7588.098000,-1.228375
196,7588.099000,-1.22298
197,7588.100000,-1.217638
198,7588.101000,-1.21228
199,7588.102000,-1.206924
200,7588.103000,-1.201604
201,7588.104000,-1.198057
202,7588.105000,-1.196483
203,7588.106000,-1.188487
204,7588.107000,-1.18145
205,7588.108000,-1.191055
206,7588.109000,-1.15838
207,7588.110000,-1.19283
208,7588.111000,-1.16476
209,7588.112000,-1.167113
210,7588.113000,-1.163518
211,7588.114000,-1.160169
212,7588.115000,-1.157087
213,7588.116000,-1.154215
214,7588.117000,-1.151623
215,7588.118000,-1.148016
216,7588.119000,-1.143286
217,7588.120000,-1.143037
218,7588.121000,-1.147425
219,7588.122000,-1.12869
220,7588.123000,-1.136704
221,7588.124000,-1.132099
222,7588.125000,-1.131478
223,7588.126000,-1.12492
224,7588.127000,-1.126123
