#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
117,7588.020000,-3.391385
118,7588.021000,-3.362144
119,7588.022000,-3.379715
120,7588.023000,-3.368431
121,7588.024000,-3.368249
122,7588.025000,-3.364443
123,7588.026000,-3.365537
124,7588.027000,-3.373933
125,7588.028000,-3.350492
126,7588.029000,-3.36207
127,7588.030000,-3.359169
128,7588.031000,-3.363945
129,7588.032000,-3.34959
130,7588.033000,-3.350814
131,7588.034000,-3.35984
132,7588.035000,-3.337224
133,7588.036000,-3.359896
134,7588.037000,-3.345777
135,7588.038000,-3.344547
136,7588.039000,-3.33429
137,7588.040000,-3.35131
138,7588.041000,-3.336688
139,7588.042000,-3.336421
140,7588.043000,-3.330822
141,7588.044000,-3.333578
142,7588.045000,-3.345072
143,7588.046000,-3.31236
144,7588.047000,-3.331647
145,7588.048000,-3.32418
146,7588.049000,-3.321872
147,7588.050000,-3.31967
148,7588.051000,-3.316965
149,7588.052000,-3.315151
150,7588.053000,-3.314075
151,7588.054000,-3.310314
152,7588.055000,-3.303794
153,7588.056000,-3.311748
154,7588.057000,-3.291016
155,7588.058000,-3.308438
156,7588.059000,-3.304549
157,7588.060000,-3.284783
158,7588.061000,-3.295127
159,7588.062000,-3.290717
160,7588.063000,-3.29195
161,7588.064000,-3.282465
162,7588.065000,-3.274149
163,7588.066000,-3.28925
164,7588.067000,-3.273483
165,7588.068000,-3.273841
166,7588.069000,-3.270996
167,7588.070000,-3.26818
168,7588.071000,-3.265401
169,7588.072000,-3.26263
170,7588.073000,-3.259884
171,7588.074000,-3.257121
172,7588.075000,-3.254337
173,7588.076000,-3.25159
174,7588.077000,-3.248873
175,7588.078000,-3.245988
176,7588.079000,-3.242928
177,7588.080000,-3.240452
178,7588.081000,-3.238574
179,7588.082000,-3.233584
180,7588.083000,-3.232285
181,7588.084000,-3.229015
182,7588.085000,-3.22603
183,7588.086000,-3.22361
184,7588.087000,-3.221792
185,7588.088000,-3.217276
186,7588.089000,-3.209926
187,7588.090000,-3.216568
188,7588.091000,-3.206719
189,7588.092000,-3.20528
190,7588.093000,-3.202145
191,7588.094000,-3.19909
192,7588.095000,-3.196124
193,7588.096000,-3.192556
194,7588.097000,-3.188354
195,7588.098000,-3.186667
196,7588.099000,-3.187609
197,7588.100000,-3.175152
198,7588.101000,-3.178418
199,7588.102000,-3.173685
200,7588.103000,-3.170626
201,7588.104000,-3.167974
202,7588.105000,-3.165795
203,7588.106000,-3.162185
204,7588.107000,-3.157078
205,7588.108000,-3.159769
206,7588.109000,-3.15351
207,7588.110000,-3.151876
208,7588.111000,-3.149321
209,7588.112000,-3.146873
210,7588.113000,-3.144517
211,7588.114000,-3.141644
212,7588.115000,-3.138216
213,7588.116000,-3.137469
214,7588.117000,-3.139543
215,7588.118000,-3.127729
216,7588.119000,-3.132179
217,7588.120000,-3.128284
218,7588.121000,-3.126023
219,7588.122000,-3.123793
220,7588.123000,-3.121598
221,7588.124000,-3.1194
222,7588.125000,-3.117204
223,7588.126000,-3.115099
224,7588.127000,-3.113089
