#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
117,7588.020000,-12.29877
118,7588.021000,-12.37323
119,7588.022000,-12.36201
120,7588.023000,-12.38047
121,7588.024000,-12.34843
122,7588.025000,-12.32726
123,7588.026000,-12.40147
124,7588.027000,-12.36326
125,7588.028000,-12.34957
126,7588.029000,-12.37049
127,7588.030000,-12.36284
128,7588.031000,-12.35475
129,7588.032000,-12.36781
130,7588.033000,-12.403
131,7588.034000,-12.32753
132,7588.035000,-12.38217
133,7588.036000,-12.37013
134,7588.037000,-12.37124
135,7588.038000,-12.37145
136,7588.039000,-12.37066
137,7588.040000,-12.37626
138,7588.041000,-12.38869
139,7588.042000,-12.37337
140,7588.043000,-12.32909
141,7588.044000,-12.43063
142,7588.045000,-12.36082
143,7588.046000,-12.37831
144,7588.047000,-12.37786
145,7588.048000,-12.38106
146,7588.049000,-12.38813
147,7588.050000,-12.37476
148,7588.051000,-12.3764
149,7588.052000,-12.38516
150,7588.053000,-12.41364
151,7588.054000,-12.35338
152,7588.055000,-12.40091
153,7588.056000,-12.38674
154,7588.057000,-12.37564
155,7588.058000,-12.40447
156,7588.059000,-12.39731
157,7588.060000,-12.38882
158,7588.061000,-12.35261
159,7588.062000,-12.43263
160,7588.063000,-12.40751
161,7588.064000,-12.3718
162,7588.065000,-12.3872
163,7588.066000,-12.41621
164,7588.067000,-12.39235
165,7588.068000,-12.39953
166,7588.069000,-12.4008
167,7588.070000,-12.40089
168,7588.071000,-12.39971
169,7588.072000,-12.40425
170,7588.073000,-12.41482
171,7588.074000,-12.39652
172,7588.075000,-12.4001
173,7588.076000,-12.41807
174,7588.077000,-12.40529
175,7588.078000,-12.40972
176,7588.079000,-12.41078
177,7588.080000,-12.41185
178,7588.081000,-12.41292
179,7588.082000,-12.414
180,7588.083000,-12.41508
181,7588.084000,-12.41618
182,7588.085000,-12.41727
183,7588.086000,-12.41881
184,7588.087000,-12.42085
185,7588.088000,-12.41932
186,7588.089000,-12.41396
187,7588.090000,-12.42401
188,7588.091000,-12.45014
189,7588.092000,-12.39534
190,7588.093000,-12.43539
191,7588.094000,-12.42781
192,7588.095000,-12.43097
193,7588.096000,-12.42998
194,7588.097000,-12.42467
195,7588.098000,-12.43927
196,7588.099000,-12.41881
197,7588.100000,-12.43672
198,7588.101000,-12.476
199,7588.102000,-12.39499
200,7588.103000,-12.43737
201,7588.104000,-12.45451
202,7588.105000,-12.4355
203,7588.106000,-12.43975
204,7588.107000,-12.43664
205,7588.108000,-12.4429
206,7588.109000,-12.45895
207,7588.110000,-12.42548
208,7588.111000,-12.45026
209,7588.112000,-12.44514
210,7588.113000,-12.44587
211,7588.114000,-12.44644
212,7588.115000,-12.44683
213,7588.116000,-12.44715
214,7588.117000,-12.44733
215,7588.118000,-12.44795
216,7588.119000,-12.44907
217,7588.120000,-12.45038
218,7588.121000,-12.45204
219,7588.122000,-12.45148
220,7588.123000,-12.44844
221,7588.124000,-12.44894
222,7588.125000,-12.45275
223,7588.126000,-12.45358
224,7588.127000,-12.45234
