#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7588.029000,7.426528
127,7588.030000,7.422408
128,7588.031000,7.419613
129,7588.032000,7.429717
130,7588.033000,7.417785
131,7588.034000,7.433282
132,7588.035000,7.413695
133,7588.036000,7.437026
134,7588.037000,7.421015
135,7588.038000,7.428223
136,7588.039000,7.437194
137,7588.040000,7.418809
138,7588.041000,7.431946
139,7588.042000,7.430679
140,7588.043000,7.434699
141,7588.044000,7.430237
142,7588.045000,7.416924
143,7588.046000,7.44786
144,7588.047000,7.426842
145,7588.048000,7.43244
146,7588.049000,7.43276
147,7588.050000,7.433412
148,7588.051000,7.433811
149,7588.052000,7.433604
150,7588.053000,7.432528
151,7588.054000,7.434458
152,7588.055000,7.439517
153,7588.056000,7.427596
154,7588.057000,7.441694
155,7588.058000,7.428305
156,7588.059000,7.44737
157,7588.060000,7.426138
158,7588.061000,7.440829
159,7588.062000,7.43629
160,7588.063000,7.432646
161,7588.064000,7.43966
162,7588.065000,7.445418
163,7588.066000,7.427739
164,7588.067000,7.440908
165,7588.068000,7.437882
166,7588.069000,7.438007
167,7588.070000,7.438186
168,7588.071000,7.438422
169,7588.072000,7.438687
170,7588.073000,7.439003
171,7588.074000,7.439318
172,7588.075000,7.439631
173,7588.076000,7.43997
174,7588.077000,7.44032
175,7588.078000,7.4408
176,7588.079000,7.441418
177,7588.080000,7.441448
178,7588.081000,7.440851
179,7588.082000,7.443416
180,7588.083000,7.442342
181,7588.084000,7.443243
182,7588.085000,7.443877
183,7588.086000,7.443855
184,7588.087000,7.443121
185,7588.088000,7.445045
186,7588.089000,7.449728
187,7588.090000,7.4404
188,7588.091000,7.447546
189,7588.092000,7.446211
190,7588.093000,7.44651
191,7588.094000,7.446912
192,7588.095000,7.447425
193,7588.096000,7.447356
194,7588.097000,7.446673
195,7588.098000,7.448524
196,7588.099000,7.453021
197,7588.100000,7.444139
198,7588.101000,7.450998
199,7588.102000,7.449733
200,7588.103000,7.450002
201,7588.104000,7.450605
202,7588.105000,7.451566
203,7588.106000,7.451064
204,7588.107000,7.449035
205,7588.108000,7.454696
206,7588.109000,7.451312
207,7588.110000,7.452562
208,7588.111000,7.452895
209,7588.112000,7.453301
