#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
120,7427.811000,1.918304
121,7427.812000,4.837564
122,7427.813000,2.022203
123,7427.814000,-2.098774
124,7427.815000,-0.9530156
125,7427.816000,1.8525
126,7427.817000,2.631384
127,7427.818000,-0.5519004
128,7427.819000,0.003908813
129,7427.820000,1.361002
130,7427.821000,1.46752
131,7427.822000,0.1664273
132,7427.823000,1.998304
133,7427.824000,1.522671
134,7427.825000,0.6307002
135,7427.826000,-0.0948858
136,7427.827000,2.269094
137,7427.828000,3.634788
138,7427.829000,4.097855
139,7427.830000,4.07045
140,7427.831000,1.204519
141,7427.832000,-1.052538
142,7427.833000,2.47787
143,7427.834000,4.743214
144,7427.835000,2.393464
145,7427.836000,1.570218
146,7427.837000,-0.654003
147,7427.838000,-0.9763166
148,7427.839000,0.8436732
149,7427.840000,6.423292
150,7427.841000,5.368255
151,7427.842000,-2.972689
152,7427.843000,1.021431
153,7427.844000,2.553863
154,7427.845000,3.345365
155,7427.846000,3.669075
156,7427.847000,2.459451
157,7427.848000,0.7243384
158,7427.849000,-1.884403
159,7427.850000,-0.9458687
160,7427.851000,0.05706051
161,7427.852000,3.406465
162,7427.853000,2.983743
163,7427.854000,0.3176854
164,7427.855000,2.67041
165,7427.856000,4.221724
166,7427.857000,4.29719
167,7427.858000,0.4087249
168,7427.859000,-0.5203173
169,7427.860000,-2.340517
170,7427.861000,-3.53813
171,7427.862000,-0.676107
172,7427.863000,2.86784
173,7427.864000,3.269226
174,7427.865000,-0.6264453
175,7427.866000,-0.8885143
176,7427.867000,1.237153
177,7427.868000,3.249764
178,7427.869000,4.353595
179,7427.870000,3.261873
180,7427.871000,3.628316
181,7427.872000,3.162914
182,7427.873000,2.378712
183,7427.874000,0.1576149
184,7427.875000,2.466136
185,7427.876000,0.2092224
186,7427.877000,0.09675145
187,7427.878000,2.107254
188,7427.879000,1.266279
189,7427.880000,-2.202547
190,7427.881000,-1.370988
191,7427.882000,0.2855608
192,7427.883000,3.960468
193,7427.884000,5.168858
194,7427.885000,2.210315
195,7427.886000,0.6257383
196,7427.887000,1.288405
197,7427.888000,3.342356
198,7427.889000,1.256436
199,7427.890000,1.62809
200,7427.891000,1.781673
