#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7427.817000,3.89467
127,7427.818000,3.904554
128,7427.819000,3.891381
129,7427.820000,3.891985
130,7427.821000,3.890425
131,7427.822000,3.887712
132,7427.823000,3.882674
133,7427.824000,3.878652
134,7427.825000,3.874871
135,7427.826000,3.871023
136,7427.827000,3.867518
137,7427.828000,3.863868
138,7427.829000,3.860135
139,7427.830000,3.856365
140,7427.831000,3.852479
141,7427.832000,3.848534
142,7427.833000,3.844509
143,7427.834000,3.840456
144,7427.835000,3.83638
145,7427.836000,3.831853
146,7427.837000,3.826848
147,7427.838000,3.824883
148,7427.839000,3.826185
149,7427.840000,3.814499
150,7427.841000,3.789266
151,7427.842000,3.832109
152,7427.843000,3.794781
153,7427.844000,3.798555
154,7427.845000,3.794248
155,7427.846000,3.790179
156,7427.847000,3.786378
157,7427.848000,3.782712
158,7427.849000,3.779259
159,7427.850000,3.775884
160,7427.851000,3.772581
161,7427.852000,3.769414
162,7427.853000,3.76635
163,7427.854000,3.763879
164,7427.855000,3.762053
165,7427.856000,3.757646
166,7427.857000,3.750489
167,7427.858000,3.757453
168,7427.859000,3.748241
169,7427.860000,3.747518
170,7427.861000,3.745273
171,7427.862000,3.742996
172,7427.863000,3.740661
173,7427.864000,3.738374
174,7427.865000,3.736087
175,7427.866000,3.73387
176,7427.867000,3.731729
177,7427.868000,3.729591
178,7427.869000,3.72747
179,7427.870000,3.725531
180,7427.871000,3.723777
181,7427.872000,3.722342
182,7427.873000,3.721292
183,7427.874000,3.718628
184,7427.875000,3.71422
185,7427.876000,3.7171
186,7427.877000,3.727568
187,7427.878000,3.700328
188,7427.879000,3.717135
189,7427.880000,3.711223
190,7427.881000,3.709645
191,7427.882000,3.708115
192,7427.883000,3.706638
193,7427.884000,3.705079
194,7427.885000,3.703466
195,7427.886000,3.701937
196,7427.887000,3.700483
197,7427.888000,3.699058
198,7427.889000,3.697692
199,7427.890000,3.69627
200,7427.891000,3.694779
201,7427.892000,3.693305
202,7427.893000,3.691819
203,7427.894000,3.690511
204,7427.895000,3.689405
205,7427.896000,3.688394
206,7427.897000,3.687531
207,7427.898000,3.686726
208,7427.899000,3.685971
209,7427.900000,3.685362
