#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
289,7840.050000,0.03007228
290,7840.051000,0.03171312
291,7840.052000,0.03193844
292,7840.053000,0.03163704
293,7840.054000,0.03173145
294,7840.055000,0.03182072
295,7840.056000,0.03184257
296,7840.057000,0.03186182
297,7840.058000,0.03187492
298,7840.059000,0.03188204
299,7840.060000,0.03187448
300,7840.061000,0.03185605
301,7840.062000,0.03180439
302,7840.063000,0.03170806
303,7840.064000,0.03158794
304,7840.065000,0.03143227
305,7840.066000,0.03157784
306,7840.067000,0.03205499
307,7840.068000,0.03221047
308,7840.069000,0.03208833
309,7840.070000,0.03458242
310,7840.071000,0.03983323
311,7840.072000,0.02718566
312,7840.073000,-0.004582793
313,7840.074000,0.06123168
314,7840.075000,0.0287603
315,7840.076000,0.03933926
316,7840.077000,0.0285105
317,7840.078000,0.02699191
318,7840.079000,0.03185138
319,7840.080000,0.03202959
320,7840.081000,0.03037437
321,7840.082000,0.03080291
322,7840.083000,0.03210311
323,7840.084000,0.03202631
324,7840.085000,0.03088045
325,7840.086000,0.03067914
326,7840.087000,0.03111794
327,7840.088000,0.03106414
328,7840.089000,0.03080704
329,7840.090000,0.03088262
330,7840.091000,0.03118064
331,7840.092000,0.03152826
332,7840.093000,0.03200516
333,7840.094000,0.03191743
334,7840.095000,0.03118949
335,7840.096000,0.02866369
336,7840.097000,0.02398352
337,7840.098000,0.03113641
338,7840.099000,0.0354937
339,7840.100000,0.03517392
340,7840.101000,0.02554991
341,7840.102000,0.03039032
342,7840.103000,0.02995291
343,7840.104000,0.03169426
344,7840.105000,0.03158181
345,7840.106000,0.03125012
346,7840.107000,0.02975025
347,7840.108000,0.02697626
348,7840.109000,0.02265231
349,7840.110000,0.0268225
350,7840.111000,0.04028306
351,7840.112000,0.03157341
352,7840.113000,0.02985423
353,7840.114000,0.02662696
354,7840.115000,0.02885436
355,7840.116000,0.02672665
356,7840.117000,0.02215457
357,7840.118000,0.02516834
358,7840.119000,0.035471
359,7840.120000,0.03397433
360,7840.121000,0.02512815
361,7840.122000,0.02348467
362,7840.123000,0.02770579
363,7840.124000,0.02793072
364,7840.125000,0.02667168
365,7840.126000,0.02656575
366,7840.127000,0.02648741
367,7840.128000,0.02623856
368,7840.129000,0.02601285
369,7840.130000,0.02578588
370,7840.131000,0.02555834
371,7840.132000,0.02532425
372,7840.133000,0.02508484
373,7840.134000,0.02485896
374,7840.135000,0.02465107
375,7840.136000,0.02445004
376,7840.137000,0.02426222
377,7840.138000,0.02407348
378,7840.139000,0.02388834
379,7840.140000,0.02371624
380,7840.141000,0.02354789
381,7840.142000,0.0233816
382,7840.143000,0.02321259
383,7840.144000,0.02304633
384,7840.145000,0.02288023
385,7840.146000,0.02272468
386,7840.147000,0.02258053
387,7840.148000,0.02244069
388,7840.149000,0.02230775
389,7840.150000,0.02216602
390,7840.151000,0.0220134
391,7840.152000,0.02185935
392,7840.153000,0.02169925
393,7840.154000,0.0214799
394,7840.155000,0.0211963
395,7840.156000,0.02078663
396,7840.157000,0.0202241
397,7840.158000,0.02085279
398,7840.159000,0.02279036
399,7840.160000,0.0221029
400,7840.161000,0.01883135
401,7840.162000,0.02856445
402,7840.163000,0.01782057
403,7840.164000,0.01518683
404,7840.165000,0.008892719
405,7840.166000,0.01427814
406,7840.167000,0.03269512
407,7840.168000,0.03220565
408,7840.169000,0.0140582
409,7840.170000,0.01164057
410,7840.171000,0.0201974
411,7840.172000,0.02131442
412,7840.173000,0.01981514
413,7840.174000,0.01953592
414,7840.175000,0.01823407
415,7840.176000,0.01614142
416,7840.177000,0.01330196
417,7840.178000,0.01554415
418,7840.179000,0.02345409
419,7840.180000,0.02316251
420,7840.181000,0.01521847
421,7840.182000,0.01399126
422,7840.183000,0.01739807
423,7840.184000,0.01751562
424,7840.185000,0.01639793
425,7840.186000,0.01651119
426,7840.187000,0.01696068
427,7840.188000,0.01689207
428,7840.189000,0.01649561
429,7840.190000,0.01715451
430,7840.191000,0.01883897
431,7840.192000,0.009268513
432,7840.193000,0.01551075
433,7840.194000,0.009822819
434,7840.195000,0.02175842
435,7840.196000,0.02055374
436,7840.197000,0.01335402
437,7840.198000,0.01222862
438,7840.199000,0.01521573
439,7840.200000,0.01506068
440,7840.201000,0.01361398
441,7840.202000,0.01416331
442,7840.203000,0.01597077
443,7840.204000,0.01417982
444,7840.205000,0.008887205
445,7840.206000,0.009603592
446,7840.207000,0.01595816
447,7840.208000,0.01827146
448,7840.209000,0.01801418
449,7840.210000,0.001157925
450,7840.211000,0.01514393
451,7840.212000,0.01246621
452,7840.213000,0.01142977
453,7840.214000,0.01095493
454,7840.215000,0.01021035
455,7840.216000,0.01157261
456,7840.217000,0.01534209
457,7840.218000,0.009473925
458,7840.219000,-0.006443128
459,7840.220000,0.02852979
460,7840.221000,0.00469391
461,7840.222000,0.008172452
462,7840.223000,0.002366006
463,7840.224000,0.01049948
464,7840.225000,0.02591009
465,7840.226000,-0.01267904
466,7840.227000,0.01415219
467,7840.228000,0.007234415
468,7840.229000,0.006960396
469,7840.230000,0.006459579
470,7840.231000,0.005715132
471,7840.232000,0.005971443
472,7840.233000,0.00727623
473,7840.234000,0.003351688
474,7840.235000,0.005611472
475,7840.236000,0.004683144
476,7840.237000,0.004351277
477,7840.238000,0.004039001
478,7840.239000,0.003739253
479,7840.240000,0.003602788
480,7840.241000,0.003652919
481,7840.242000,0.002281528
482,7840.243000,-6.21669E-4
483,7840.244000,0.002644021
484,7840.245000,0.01235806
485,7840.246000,-0.01048336
486,7840.247000,0.004565112
487,7840.248000,0.001354821
488,7840.249000,0.003346652
489,7840.250000,-3.455579E-4
490,7840.251000,-0.009983785
