#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
117,7839.878000,-11.33556
118,7839.879000,-11.35982
119,7839.880000,-11.30345
120,7839.881000,-11.34186
121,7839.882000,-11.33167
122,7839.883000,-11.33105
123,7839.884000,-11.33043
124,7839.885000,-11.32983
125,7839.886000,-11.32928
126,7839.887000,-11.32877
127,7839.888000,-11.3283
128,7839.889000,-11.32787
129,7839.890000,-11.32748
130,7839.891000,-11.32711
131,7839.892000,-11.32679
132,7839.893000,-11.32651
133,7839.894000,-11.32618
134,7839.895000,-11.32581
135,7839.896000,-11.32543
136,7839.897000,-11.32501
137,7839.898000,-11.32462
138,7839.899000,-11.32425
139,7839.900000,-11.32394
140,7839.901000,-11.32369
141,7839.902000,-11.32298
142,7839.903000,-11.32177
143,7839.904000,-11.32255
144,7839.905000,-11.3254
145,7839.906000,-11.31745
146,7839.907000,-11.32755
147,7839.908000,-11.31704
148,7839.909000,-11.32301
149,7839.910000,-11.3213
150,7839.911000,-11.32105
151,7839.912000,-11.32079
152,7839.913000,-11.32049
153,7839.914000,-11.32021
154,7839.915000,-11.31993
155,7839.916000,-11.31963
156,7839.917000,-11.31932
157,7839.918000,-11.31871
158,7839.919000,-11.31775
159,7839.920000,-11.31936
160,7839.921000,-11.32372
161,7839.922000,-11.31703
162,7839.923000,-11.2988
163,7839.924000,-11.33878
164,7839.925000,-11.31106
165,7839.926000,-11.31564
166,7839.927000,-11.31057
167,7839.928000,-11.31701
168,7839.929000,-11.33548
169,7839.930000,-11.29367
170,7839.931000,-11.32275
171,7839.932000,-11.31549
172,7839.933000,-11.31538
173,7839.934000,-11.31526
174,7839.935000,-11.31513
175,7839.936000,-11.31579
176,7839.937000,-11.3173
177,7839.938000,-11.31248
178,7839.939000,-11.30086
179,7839.940000,-11.31667
180,7839.941000,-11.36114
181,7839.942000,-11.26115
182,7839.943000,-11.32987
183,7839.944000,-11.31524
184,7839.945000,-11.32136
185,7839.946000,-11.31224
186,7839.947000,-11.28719
187,7839.948000,-11.34202
188,7839.949000,-11.30283
189,7839.950000,-11.31187
190,7839.951000,-11.31148
191,7839.952000,-11.31156
192,7839.953000,-11.31217
193,7839.954000,-11.30874
194,7839.955000,-11.30096
195,7839.956000,-11.31073
196,7839.957000,-11.33886
197,7839.958000,-11.27544
198,7839.959000,-11.31288
199,7839.960000,-11.31301
200,7839.961000,-11.30469
201,7839.962000,-11.30579
202,7839.963000,-11.30466
203,7839.964000,-11.30597
204,7839.965000,-11.3099
205,7839.966000,-11.29885
206,7839.967000,-11.2719
207,7839.968000,-11.31976
208,7839.969000,-11.38829
209,7839.970000,-11.21456
210,7839.971000,-11.32893
211,7839.972000,-11.28824
212,7839.973000,-11.27304
213,7839.974000,-11.28521
214,7839.975000,-11.32788
215,7839.976000,-11.32903
216,7839.977000,-11.29186
217,7839.978000,-11.28101
218,7839.979000,-11.28488
219,7839.980000,-11.30819
220,7839.981000,-11.2693
221,7839.982000,-11.2897
222,7839.983000,-11.33613
223,7839.984000,-11.26882
224,7839.985000,-11.29879
