#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
339,7840.100000,0.04062843
340,7840.101000,0.04372597
341,7840.102000,0.04521561
342,7840.103000,0.0449028
343,7840.104000,0.04366302
344,7840.105000,0.04097366
345,7840.106000,0.03782749
346,7840.107000,0.03427887
347,7840.108000,0.02937412
348,7840.109000,0.02326679
349,7840.110000,0.0172863
350,7840.111000,0.01142311
351,7840.112000,0.005137444
352,7840.113000,-0.001271248
353,7840.114000,-0.008901596
354,7840.115000,-0.01780987
355,7840.116000,-0.02725792
356,7840.117000,-0.03747368
357,7840.118000,-0.03945827
358,7840.119000,-0.03226757
359,7840.120000,-0.02025223
360,7840.121000,-8.144379E-4
361,7840.122000,0.02105141
362,7840.123000,0.04514027
363,7840.124000,0.0763483
364,7840.125000,0.1137762
365,7840.126000,0.134449
366,7840.127000,0.1368513
367,7840.128000,0.1313505
368,7840.129000,0.1116648
369,7840.130000,0.09249973
370,7840.131000,0.07462883
371,7840.132000,0.04517937
372,7840.133000,0.007109642
373,7840.134000,-0.01483727
374,7840.135000,-0.02000237
375,7840.136000,-0.01824951
376,7840.137000,-0.003134727
377,7840.138000,0.007481575
378,7840.139000,0.01270294
379,7840.140000,0.02695465
380,7840.141000,0.04649258
381,7840.142000,0.05764008
382,7840.143000,0.06086349
383,7840.144000,0.06014061
384,7840.145000,0.05213737
385,7840.146000,0.04857826
386,7840.147000,0.04990578
387,7840.148000,0.04748344
388,7840.149000,0.04381084
389,7840.150000,0.04219151
390,7840.151000,0.04199123
391,7840.152000,0.04338455
392,7840.153000,0.04707336
393,7840.154000,0.04776764
394,7840.155000,0.04533863
395,7840.156000,0.05275345
396,7840.157000,0.06985378
397,7840.158000,0.04774666
398,7840.159000,-0.01520443
399,7840.160000,0.1275005
400,7840.161000,0.02763748
401,7840.162000,0.05237675
402,7840.163000,0.05300522
403,7840.164000,0.05358982
404,7840.165000,0.05427361
405,7840.166000,0.05487061
406,7840.167000,0.05536366
407,7840.168000,0.05591297
408,7840.169000,0.05647564
409,7840.170000,0.05703545
410,7840.171000,0.05761623
411,7840.172000,0.05818939
412,7840.173000,0.05876446
413,7840.174000,0.05934334
414,7840.175000,0.05992317
415,7840.176000,0.06050491
416,7840.177000,0.06109428
417,7840.178000,0.06168175
418,7840.179000,0.06227398
419,7840.180000,0.06286716
420,7840.181000,0.06346607
421,7840.182000,0.06406593
422,7840.183000,0.06466866
423,7840.184000,0.06527138
424,7840.185000,0.06587505
425,7840.186000,0.06648064
426,7840.187000,0.06709194
427,7840.188000,0.06770229
428,7840.189000,0.06831837
429,7840.190000,0.06893444
