#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7839.887000,6.292958
127,7839.888000,6.294813
128,7839.889000,6.299852
129,7839.890000,6.288626
130,7839.891000,6.295909
131,7839.892000,6.295715
132,7839.893000,6.299747
133,7839.894000,6.294411
134,7839.895000,6.279285
135,7839.896000,6.313671
136,7839.897000,6.290454
137,7839.898000,6.294979
138,7839.899000,6.291571
139,7839.900000,6.2962
140,7839.901000,6.309198
141,7839.902000,6.278932
142,7839.903000,6.30882
143,7839.904000,6.288382
144,7839.905000,6.301711
145,7839.906000,6.296868
146,7839.907000,6.29021
147,7839.908000,6.307929
148,7839.909000,6.28258
149,7839.910000,6.310018
150,7839.911000,6.293844
151,7839.912000,6.297512
152,7839.913000,6.296383
153,7839.914000,6.298353
154,7839.915000,6.303561
155,7839.916000,6.292232
156,7839.917000,6.299709
157,7839.918000,6.299661
158,7839.919000,6.303991
159,7839.920000,6.298487
160,7839.921000,6.282709
161,7839.922000,6.318569
162,7839.923000,6.293723
163,7839.924000,6.300034
164,7839.925000,6.300241
165,7839.926000,6.300451
166,7839.927000,6.300663
167,7839.928000,6.300877
168,7839.929000,6.301092
169,7839.930000,6.30134
170,7839.931000,6.301624
171,7839.932000,6.301664
172,7839.933000,6.301442
173,7839.934000,6.302319
174,7839.935000,6.304347
175,7839.936000,6.30052
176,7839.937000,6.302946
177,7839.938000,6.303229
178,7839.939000,6.305445
179,7839.940000,6.301233
180,7839.941000,6.304501
181,7839.942000,6.304222
182,7839.943000,6.305032
183,7839.944000,6.304602
184,7839.945000,6.30288
185,7839.946000,6.307828
186,7839.947000,6.305138
187,7839.948000,6.305833
188,7839.949000,6.305118
189,7839.950000,6.30677
190,7839.951000,6.31088
191,7839.952000,6.302086
192,7839.953000,6.313299
193,7839.954000,6.303797
194,7839.955000,6.309575
195,7839.956000,6.309931
196,7839.957000,6.313347
197,7839.958000,6.311049
198,7839.959000,6.291315
199,7839.960000,6.33195
200,7839.961000,6.305021
201,7839.962000,6.311632
202,7839.963000,6.310529
203,7839.964000,6.312101
204,7839.965000,6.316387
205,7839.966000,6.303964
206,7839.967000,6.336851
207,7839.968000,6.292392
208,7839.969000,6.324794
209,7839.970000,6.31568
