#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7839.887000,3.092947
127,7839.888000,4.01437
128,7839.889000,4.127588
129,7839.890000,2.62208
130,7839.891000,3.668277
131,7839.892000,3.136971
132,7839.893000,2.54295
133,7839.894000,3.256897
134,7839.895000,3.497169
135,7839.896000,3.527993
136,7839.897000,2.814915
137,7839.898000,2.956734
138,7839.899000,3.805421
139,7839.900000,2.64337
140,7839.901000,3.301073
141,7839.902000,3.443952
142,7839.903000,3.14309
143,7839.904000,3.386755
144,7839.905000,3.266522
145,7839.906000,3.286603
146,7839.907000,3.261502
147,7839.908000,3.369502
148,7839.909000,3.317057
149,7839.910000,3.341933
150,7839.911000,3.342701
151,7839.912000,3.33999
152,7839.913000,3.33132
153,7839.914000,3.338326
154,7839.915000,3.362948
155,7839.916000,3.299449
156,7839.917000,3.144008
157,7839.918000,3.427189
158,7839.919000,3.200018
159,7839.920000,3.239772
160,7839.921000,3.233999
161,7839.922000,3.189919
162,7839.923000,3.104628
163,7839.924000,3.188047
164,7839.925000,3.447783
165,7839.926000,2.781668
166,7839.927000,3.160811
167,7839.928000,3.13332
168,7839.929000,3.040452
169,7839.930000,3.038059
170,7839.931000,3.019885
171,7839.932000,2.974849
172,7839.933000,2.900663
173,7839.934000,2.943062
174,7839.935000,3.107742
175,7839.936000,2.672948
176,7839.937000,2.910482
177,7839.938000,2.818026
178,7839.939000,2.673715
179,7839.940000,2.394561
180,7839.941000,1.907767
181,7839.942000,2.519404
182,7839.943000,2.799623
183,7839.944000,2.923611
184,7839.945000,2.457221
185,7839.946000,2.643442
186,7839.947000,3.148643
187,7839.948000,2.986372
188,7839.949000,2.696106
189,7839.950000,3.688104
190,7839.951000,3.595881
191,7839.952000,1.552055
192,7839.953000,1.644708
193,7839.954000,4.397083
194,7839.955000,4.719784
195,7839.956000,4.277695
196,7839.957000,4.218427
197,7839.958000,3.942826
198,7839.959000,4.27702
199,7839.960000,3.953113
200,7839.961000,3.196354
201,7839.962000,3.044412
202,7839.963000,3.414622
203,7839.964000,3.519458
204,7839.965000,3.532383
205,7839.966000,1.174859
206,7839.967000,2.533436
207,7839.968000,3.893409
208,7839.969000,3.526021
209,7839.970000,3.898272
