#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
117,7620.759000,0.07832456
118,7620.760000,0.05257964
119,7620.761000,-0.02969122
120,7620.762000,0.1710012
121,7620.763000,0.1494591
122,7620.764000,-0.1102233
123,7620.765000,-0.2671151
124,7620.766000,0.1859064
125,7620.767000,0.3438604
126,7620.768000,-0.09403324
127,7620.769000,0.05489874
128,7620.770000,-0.007121801
129,7620.771000,0.04820466
130,7620.772000,0.05534172
131,7620.773000,0.01492763
132,7620.774000,0.05988145
133,7620.775000,0.02616096
134,7620.776000,0.04503942
135,7620.777000,0.07379866
136,7620.778000,0.02705646
137,7620.779000,-0.09903502
138,7620.780000,0.1585968
139,7620.781000,0.1076334
140,7620.782000,-0.08532023
141,7620.783000,0.05595756
142,7620.784000,0.05270648
143,7620.785000,0.02856135
144,7620.786000,0.03042936
145,7620.787000,0.02115369
146,7620.788000,0.03234315
147,7620.789000,0.06491542
148,7620.790000,-0.009976625
149,7620.791000,0.04150105
150,7620.792000,0.0281415
151,7620.793000,0.02749753
152,7620.794000,0.02685213
153,7620.795000,0.02620411
154,7620.796000,0.02556324
155,7620.797000,0.02492762
156,7620.798000,0.0242784
157,7620.799000,0.02361631
158,7620.800000,0.02294827
159,7620.801000,0.02227044
160,7620.802000,0.02159452
161,7620.803000,0.02092266
162,7620.804000,0.02024508
163,7620.805000,0.01956534
164,7620.806000,0.01884842
165,7620.807000,0.01808929
166,7620.808000,0.01730657
167,7620.809000,0.01648951
168,7620.810000,0.01565695
169,7620.811000,0.01481009
170,7620.812000,0.0139308
171,7620.813000,0.01302338
172,7620.814000,0.01215625
173,7620.815000,0.0113337
174,7620.816000,0.01018
175,7620.817000,0.008678436
176,7620.818000,0.00779438
177,7620.819000,0.007514954
178,7620.820000,0.005964518
179,7620.821000,0.01936793
180,7620.822000,0.002520323
181,7620.823000,-0.04045892
182,7620.824000,0.05230856
183,7620.825000,-0.0145483
184,7620.826000,4.963875E-4
185,7620.827000,-5.147457E-4
186,7620.828000,-0.001512051
187,7620.829000,-0.00249362
188,7620.830000,-0.003478289
189,7620.831000,-0.004489422
190,7620.832000,-0.005468845
191,7620.833000,-0.006436825
192,7620.834000,-0.008097172
193,7620.835000,-0.01025748
194,7620.836000,-0.009648323
195,7620.837000,-0.006251335
196,7620.838000,-0.01735926
197,7620.839000,-0.01137686
198,7620.840000,-0.01412439
199,7620.841000,-0.01511931
200,7620.842000,-0.01612711
201,7620.843000,-0.01713419
202,7620.844000,-0.0181272
203,7620.845000,-0.01911306
204,7620.846000,-0.02011299
205,7620.847000,-0.02112103
206,7620.848000,-0.0221386
207,7620.849000,-0.02316785
208,7620.850000,-0.02419615
209,7620.851000,-0.02522135
210,7620.852000,-0.02625537
211,7620.853000,-0.02729416
212,7620.854000,-0.02836323
213,7620.855000,-0.02946711
214,7620.856000,-0.03059459
215,7620.857000,-0.03175282
216,7620.858000,-0.03293085
217,7620.859000,-0.03412747
218,7620.860000,-0.0353539
219,7620.861000,-0.03660822
220,7620.862000,-0.03786802
