#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7620.768000,1.335027
127,7620.769000,1.333512
128,7620.770000,1.331969
129,7620.771000,1.330403
130,7620.772000,1.328745
131,7620.773000,1.327013
132,7620.774000,1.325727
133,7620.775000,1.324929
134,7620.776000,1.321569
135,7620.777000,1.315507
136,7620.778000,1.323661
137,7620.779000,1.346838
138,7620.780000,1.296207
139,7620.781000,1.259734
140,7620.782000,1.371148
141,7620.783000,1.318539
142,7620.784000,1.302902
143,7620.785000,1.294994
144,7620.786000,1.351977
145,7620.787000,1.309015
146,7620.788000,1.252493
147,7620.789000,1.32549
148,7620.790000,1.316595
149,7620.791000,1.302321
150,7620.792000,1.29966
151,7620.793000,1.30123
152,7620.794000,1.299379
153,7620.795000,1.297397
154,7620.796000,1.295469
155,7620.797000,1.293003
156,7620.798000,1.293332
157,7620.799000,1.296664
158,7620.800000,1.287912
159,7620.801000,1.266553
160,7620.802000,1.308008
161,7620.803000,1.281123
162,7620.804000,1.277246
163,7620.805000,1.281966
164,7620.806000,1.278641
165,7620.807000,1.276951
166,7620.808000,1.27527
167,7620.809000,1.273615
168,7620.810000,1.271974
169,7620.811000,1.270345
170,7620.812000,1.268751
171,7620.813000,1.267191
172,7620.814000,1.265646
173,7620.815000,1.26412
174,7620.816000,1.262178
175,7620.817000,1.259774
176,7620.818000,1.259171
177,7620.819000,1.260453
178,7620.820000,1.252418
179,7620.821000,1.255336
180,7620.822000,1.252634
181,7620.823000,1.251024
182,7620.824000,1.24942
183,7620.825000,1.247817
184,7620.826000,1.246214
185,7620.827000,1.244611
186,7620.828000,1.243193
187,7620.829000,1.24198
188,7620.830000,1.238834
189,7620.831000,1.233599
190,7620.832000,1.238475
191,7620.833000,1.254027
192,7620.834000,1.219829
193,7620.835000,1.210025
194,7620.836000,1.259997
195,7620.837000,1.220488
196,7620.838000,1.2268
197,7620.839000,1.22685
198,7620.840000,1.225429
199,7620.841000,1.224444
200,7620.842000,1.221708
201,7620.843000,1.217033
202,7620.844000,1.211216
203,7620.845000,1.203708
204,7620.846000,1.204861
205,7620.847000,1.215644
206,7620.848000,1.226076
207,7620.849000,1.238563
208,7620.850000,1.232515
209,7620.851000,1.156473
