#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7620.768000,2.563323
127,7620.769000,2.508786
128,7620.770000,2.455198
129,7620.771000,2.403303
130,7620.772000,2.330226
131,7620.773000,2.241351
132,7620.774000,2.192857
133,7620.775000,2.187208
134,7620.776000,2.201213
135,7620.777000,2.24991
136,7620.778000,2.294256
137,7620.779000,2.332413
138,7620.780000,2.396977
139,7620.781000,2.479986
140,7620.782000,2.548404
141,7620.783000,2.603354
142,7620.784000,2.655434
143,7620.785000,2.696733
144,7620.786000,2.75535
145,7620.787000,2.832693
146,7620.788000,2.908308
147,7620.789000,2.988419
148,7620.790000,3.046927
149,7620.791000,3.079018
150,7620.792000,3.101375
151,7620.793000,3.105929
152,7620.794000,3.102607
153,7620.795000,3.092289
154,7620.796000,3.062925
155,7620.797000,3.016191
156,7620.798000,2.974192
157,7620.799000,2.936818
158,7620.800000,2.907602
159,7620.801000,2.893126
160,7620.802000,2.799035
161,7620.803000,2.761245
162,7620.804000,2.681188
163,7620.805000,2.600049
164,7620.806000,2.542529
165,7620.807000,2.513242
166,7620.808000,2.493716
167,7620.809000,2.493511
168,7620.810000,2.497059
169,7620.811000,2.503238
170,7620.812000,2.52849
171,7620.813000,2.569935
172,7620.814000,2.598513
173,7620.815000,2.614155
174,7620.816000,2.629261
175,7620.817000,2.636777
176,7620.818000,2.658398
177,7620.819000,2.695812
178,7620.820000,2.732564
179,7620.821000,2.77369
180,7620.822000,2.802872
181,7620.823000,2.816763
182,7620.824000,2.826734
183,7620.825000,2.827696
184,7620.826000,2.825329
185,7620.827000,2.820354
186,7620.828000,2.805284
187,7620.829000,2.781121
188,7620.830000,2.766025
189,7620.831000,2.760366
190,7620.832000,2.755883
191,7620.833000,2.75708
192,7620.834000,2.751245
193,7620.835000,2.737334
194,7620.836000,2.725338
195,7620.837000,2.712326
196,7620.838000,2.701793
197,7620.839000,2.695184
198,7620.840000,2.688738
199,7620.841000,2.683735
200,7620.842000,2.680449
201,7620.843000,2.678651
202,7620.844000,2.679418
203,7620.845000,2.682864
204,7620.846000,2.682503
205,7620.847000,2.678024
206,7620.848000,2.6727
207,7620.849000,2.664875
208,7620.850000,2.658639
209,7620.851000,2.654375
