#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
114,7620.756000,0.004770279
115,7620.757000,5.302429E-4
116,7620.758000,-0.002534866
117,7620.759000,-0.004487991
118,7620.760000,-0.005397797
119,7620.761000,-0.004863739
120,7620.762000,-0.004478455
121,7620.763000,-0.004238129
122,7620.764000,-0.003005981
123,7620.765000,-0.001081467
124,7620.766000,6.504059E-4
125,7620.767000,0.002269745
126,7620.768000,0.004032135
127,7620.769000,0.005731583
128,7620.770000,0.008253098
129,7620.771000,0.01164055
130,7620.772000,0.01531219
131,7620.773000,0.01947784
132,7620.774000,0.02247238
133,7620.775000,0.02407837
134,7620.776000,0.02523041
135,7620.777000,0.02544975
136,7620.778000,0.02556038
137,7620.779000,0.02562141
138,7620.780000,0.02478027
139,7620.781000,0.02319717
140,7620.782000,0.02226067
141,7620.783000,0.02196884
142,7620.784000,0.02174568
143,7620.785000,0.02192307
144,7620.786000,0.02144814
145,7620.787000,0.02025223
146,7620.788000,0.01913452
147,7620.789000,0.01786613
148,7620.790000,0.01791573
149,7620.791000,0.01953125
150,7620.792000,0.01924706
151,7620.793000,0.01722336
152,7620.794000,0.02602005
153,7620.795000,0.04607391
154,7620.796000,0.01209068
155,7620.797000,0.04349327
156,7620.798000,0.03065109
157,7620.799000,0.01209259
158,7620.800000,-0.01314163
159,7620.801000,-0.04846764
160,7620.802000,-0.08691597
161,7620.803000,-0.1281872
162,7620.804000,-0.178833
163,7620.805000,-0.2375526
164,7620.806000,-0.2603798
165,7620.807000,-0.2439175
166,7620.808000,-0.2081566
167,7620.809000,-0.1408005
168,7620.810000,-0.06920815
169,7620.811000,0.00541687
170,7620.812000,0.1077671
171,7620.813000,0.2325687
172,7620.814000,0.3016396
173,7620.815000,0.3107443
174,7620.816000,0.2935877
175,7620.817000,0.2290497
176,7620.818000,0.1645222
177,7620.819000,0.1021385
178,7620.820000,-3.833771E-4
179,7620.821000,-0.13381
180,7620.822000,-0.1927528
181,7620.823000,-0.1728973
182,7620.824000,-0.1662731
183,7620.825000,-0.14995
184,7620.826000,-0.1246986
185,7620.827000,-0.1030731
186,7620.828000,-0.07059479
187,7620.829000,-0.03214645
188,7620.830000,0.01431656
189,7620.831000,0.06971931
