#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
126,7723.589000,16.06825
127,7723.590000,16.06628
128,7723.591000,16.06269
129,7723.592000,16.06642
130,7723.593000,16.07786
131,7723.594000,16.0526
132,7723.595000,16.05227
133,7723.596000,16.07777
134,7723.597000,16.05605
135,7723.598000,16.06029
136,7723.599000,16.05945
137,7723.600000,16.05861
138,7723.601000,16.05778
139,7723.602000,16.05694
140,7723.603000,16.0561
141,7723.604000,16.05526
142,7723.605000,16.05441
143,7723.606000,16.05357
144,7723.607000,16.05272
145,7723.608000,16.05185
146,7723.609000,16.05095
147,7723.610000,16.05021
148,7723.611000,16.04963
149,7723.612000,16.04838
150,7723.613000,16.04645
151,7723.614000,16.04797
152,7723.615000,16.04543
153,7723.616000,16.04496
154,7723.617000,16.04408
155,7723.618000,16.04321
156,7723.619000,16.04232
157,7723.620000,16.04144
158,7723.621000,16.04055
159,7723.622000,16.03968
160,7723.623000,16.03883
161,7723.624000,16.038
162,7723.625000,16.03719
163,7723.626000,16.03638
164,7723.627000,16.03557
165,7723.628000,16.03477
166,7723.629000,16.034
167,7723.630000,16.03322
168,7723.631000,16.03245
169,7723.632000,16.03167
170,7723.633000,16.0309
171,7723.634000,16.02967
172,7723.635000,16.02795
173,7723.636000,16.03024
174,7723.637000,16.03685
175,7723.638000,16.02495
176,7723.639000,15.99365
177,7723.640000,16.05883
178,7723.641000,16.03468
179,7723.642000,16.00832
180,7723.643000,16.00578
181,7723.644000,16.04826
182,7723.645000,16.01378
183,7723.646000,16.02141
184,7723.647000,16.02099
185,7723.648000,16.01944
186,7723.649000,16.0167
187,7723.650000,16.01882
188,7723.651000,16.02601
189,7723.652000,16.0077
190,7723.653000,16.01939
191,7723.654000,16.01561
192,7723.655000,16.01476
193,7723.656000,16.01385
194,7723.657000,16.01287
195,7723.658000,16.01187
196,7723.659000,16.01085
197,7723.660000,16.00976
198,7723.661000,16.00861
199,7723.662000,16.00781
200,7723.663000,16.00742
201,7723.664000,16.00367
202,7723.665000,15.99631
203,7723.666000,16.00472
204,7723.667000,16.02971
205,7723.668000,15.97444
206,7723.669000,15.98362
207,7723.670000,16.02301
208,7723.671000,15.98745
209,7723.672000,15.99406
210,7723.673000,15.99196
211,7723.674000,15.99264
212,7723.675000,15.99632
213,7723.676000,15.98787
214,7723.677000,15.96673
215,7723.678000,16.00925
216,7723.679000,15.97679
217,7723.680000,15.98273
218,7723.681000,15.98109
219,7723.682000,15.97944
220,7723.683000,15.97778
221,7723.684000,15.97607
222,7723.685000,15.97434
223,7723.686000,15.97262
224,7723.687000,15.97094
225,7723.688000,15.96925
226,7723.689000,15.9676
227,7723.690000,15.96592
228,7723.691000,15.96422
229,7723.692000,15.96254
230,7723.693000,15.96086
231,7723.694000,15.95916
232,7723.695000,15.95743
233,7723.696000,15.95569
234,7723.697000,15.95393
235,7723.698000,15.95217
236,7723.699000,15.95043
237,7723.700000,15.94868
238,7723.701000,15.94693
239,7723.702000,15.9452
240,7723.703000,15.94349
241,7723.704000,15.94113
