#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
117,7723.580000,-12.08193
118,7723.581000,-12.10374
119,7723.582000,-12.09868
120,7723.583000,-12.09889
121,7723.584000,-12.09907
122,7723.585000,-12.09924
123,7723.586000,-12.09935
124,7723.587000,-12.09938
125,7723.588000,-12.09957
126,7723.589000,-12.09992
127,7723.590000,-12.09823
128,7723.591000,-12.09436
129,7723.592000,-12.10188
130,7723.593000,-12.12148
131,7723.594000,-12.08609
132,7723.595000,-12.0671
133,7723.596000,-12.14232
134,7723.597000,-12.08762
135,7723.598000,-12.10026
136,7723.599000,-12.09786
137,7723.600000,-12.10153
138,7723.601000,-12.11153
139,7723.602000,-12.08965
140,7723.603000,-12.10533
141,7723.604000,-12.10173
142,7723.605000,-12.10188
143,7723.606000,-12.10219
144,7723.607000,-12.10265
145,7723.608000,-12.10204
146,7723.609000,-12.10028
147,7723.610000,-12.10466
148,7723.611000,-12.10567
149,7723.612000,-12.10161
150,7723.613000,-12.08894
151,7723.614000,-12.11815
152,7723.615000,-12.10482
153,7723.616000,-12.09999
154,7723.617000,-12.07479
155,7723.618000,-12.1236
156,7723.619000,-12.13234
157,7723.620000,-12.0619
158,7723.621000,-12.11581
159,7723.622000,-12.10261
160,7723.623000,-12.10244
161,7723.624000,-12.1024
162,7723.625000,-12.10248
163,7723.626000,-12.10101
164,7723.627000,-12.09788
165,7723.628000,-12.10123
166,7723.629000,-12.11137
167,7723.630000,-12.08686
168,7723.631000,-12.10261
169,7723.632000,-12.09916
170,7723.633000,-12.10149
171,7723.634000,-12.09638
172,7723.635000,-12.08348
173,7723.636000,-12.1104
174,7723.637000,-12.09816
175,7723.638000,-12.09277
176,7723.639000,-12.06727
177,7723.640000,-12.12246
178,7723.641000,-12.08872
179,7723.642000,-12.08908
180,7723.643000,-12.06652
181,7723.644000,-12.10887
182,7723.645000,-12.10779
183,7723.646000,-12.05917
184,7723.647000,-12.09591
185,7723.648000,-12.0858
186,7723.649000,-12.08492
187,7723.650000,-12.08341
188,7723.651000,-12.08123
189,7723.652000,-12.08167
190,7723.653000,-12.08488
191,7723.654000,-12.07435
192,7723.655000,-12.0806
193,7723.656000,-12.07857
194,7723.657000,-12.07845
195,7723.658000,-12.07658
196,7723.659000,-12.07276
197,7723.660000,-12.06802
198,7723.661000,-12.0618
199,7723.662000,-12.06402
200,7723.663000,-12.07569
201,7723.664000,-12.08405
202,7723.665000,-12.0911
203,7723.666000,-12.09397
204,7723.667000,-12.08998
205,7723.668000,-11.97185
206,7723.669000,-12.01684
207,7723.670000,-12.18362
208,7723.671000,-12.04103
209,7723.672000,-12.05002
210,7723.673000,-12.06806
211,7723.674000,-12.0639
212,7723.675000,-12.0626
213,7723.676000,-12.06091
214,7723.677000,-12.05744
215,7723.678000,-12.06018
216,7723.679000,-12.0694
217,7723.680000,-12.04633
218,7723.681000,-12.06128
219,7723.682000,-12.05673
220,7723.683000,-12.05597
221,7723.684000,-12.05524
222,7723.685000,-12.05451
223,7723.686000,-12.05375
224,7723.687000,-12.05294
