#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
117,7723.580000,0.1134233
118,7723.581000,0.1131163
119,7723.582000,0.1127882
120,7723.583000,0.112443
121,7723.584000,0.1120996
122,7723.585000,0.1117487
123,7723.586000,0.1114311
124,7723.587000,0.1111336
125,7723.588000,0.1108122
126,7723.589000,0.1105566
127,7723.590000,0.1102381
128,7723.591000,0.1098948
129,7723.592000,0.1095457
130,7723.593000,0.1091805
131,7723.594000,0.1088076
132,7723.595000,0.108428
133,7723.596000,0.1080256
134,7723.597000,0.1076078
135,7723.598000,0.1072054
136,7723.599000,0.1068153
137,7723.600000,0.1064272
138,7723.601000,0.1060505
139,7723.602000,0.1056538
140,7723.603000,0.105238
141,7723.604000,0.1048212
142,7723.605000,0.1043997
143,7723.606000,0.1039839
144,7723.607000,0.1035814
145,7723.608000,0.1031752
146,7723.609000,0.1027775
147,7723.610000,0.1023769
148,7723.611000,0.1019773
149,7723.612000,0.1015787
150,7723.613000,0.1011906
151,7723.614000,0.1007872
152,7723.615000,0.1003685
153,7723.616000,0.09994411
154,7723.617000,0.09951115
155,7723.618000,0.09907722
156,7723.619000,0.09864521
157,7723.620000,0.09820652
158,7723.621000,0.09776211
159,7723.622000,0.09734821
160,7723.623000,0.09696293
161,7723.624000,0.09659481
162,7723.625000,0.09625244
163,7723.626000,0.09591484
164,7723.627000,0.0955801
165,7723.628000,0.09526825
166,7723.629000,0.09497643
167,7723.630000,0.09468174
168,7723.631000,0.0943861
169,7723.632000,0.0941
170,7723.633000,0.0938139
171,7723.634000,0.09354782
172,7723.635000,0.09330082
173,7723.636000,0.09306431
174,7723.637000,0.09284306
175,7723.638000,0.09260845
176,7723.639000,0.09235477
177,7723.640000,0.09210491
178,7723.641000,0.09184551
179,7723.642000,0.09158802
180,7723.643000,0.09133816
181,7723.644000,0.09107971
182,7723.645000,0.09081745
183,7723.646000,0.09056854
184,7723.647000,0.09034252
185,7723.648000,0.09012508
186,7723.649000,0.08991814
187,7723.650000,0.08971119
188,7723.651000,0.08950043
189,7723.652000,0.08929825
190,7723.653000,0.08910275
191,7723.654000,0.08900928
192,7723.655000,0.08903408
193,7723.656000,0.08912373
194,7723.657000,0.08930779
