#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7723.589000,6.839462
127,7723.590000,6.839445
128,7723.591000,6.839602
129,7723.592000,6.839804
130,7723.593000,6.840121
131,7723.594000,6.840443
132,7723.595000,6.840767
133,7723.596000,6.841208
134,7723.597000,6.841745
135,7723.598000,6.842181
136,7723.599000,6.842514
137,7723.600000,6.842833
138,7723.601000,6.84309
139,7723.602000,6.843438
140,7723.603000,6.843888
141,7723.604000,6.844329
142,7723.605000,6.844796
143,7723.606000,6.845173
144,7723.607000,6.845435
145,7723.608000,6.845666
146,7723.609000,6.845831
147,7723.610000,6.845975
148,7723.611000,6.846104
149,7723.612000,6.846163
150,7723.613000,6.84616
151,7723.614000,6.846231
152,7723.615000,6.846376
153,7723.616000,6.84654
154,7723.617000,6.846754
155,7723.618000,6.846929
156,7723.619000,6.847059
157,7723.620000,6.847217
158,7723.621000,6.847383
159,7723.622000,6.847339
160,7723.623000,6.847072
161,7723.624000,6.846671
162,7723.625000,6.846072
163,7723.626000,6.845422
164,7723.627000,6.844723
165,7723.628000,6.843851
166,7723.629000,6.842831
167,7723.630000,6.841793
168,7723.631000,6.840732
169,7723.632000,6.8396
170,7723.633000,6.838427
171,7723.634000,6.837098
172,7723.635000,6.835604
173,7723.636000,6.834026
174,7723.637000,6.832333
175,7723.638000,6.830701
176,7723.639000,6.829152
177,7723.640000,6.827583
178,7723.641000,6.826044
179,7723.642000,6.824453
180,7723.643000,6.822803
181,7723.644000,6.821179
182,7723.645000,6.819564
183,7723.646000,6.817805
184,7723.647000,6.8159
185,7723.648000,6.813913
186,7723.649000,6.811804
187,7723.650000,6.809689
188,7723.651000,6.807573
189,7723.652000,6.805369
190,7723.653000,6.803103
191,7723.654000,6.80101
192,7723.655000,6.799104
193,7723.656000,6.797292
194,7723.657000,6.795639
195,7723.658000,6.793993
196,7723.659000,6.792348
197,7723.660000,6.790842
198,7723.661000,6.789445
199,7723.662000,6.788023
200,7723.663000,6.786583
201,7723.664000,6.785176
202,7723.665000,6.78377
203,7723.666000,6.782489
204,7723.667000,6.781341
205,7723.668000,6.780244
206,7723.669000,6.779229
207,7723.670000,6.778103
208,7723.671000,6.77684
209,7723.672000,6.775555
