#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
115,7879.060000,0.01718998
116,7879.061000,0.01694775
117,7879.062000,0.01671982
118,7879.063000,0.01649761
119,7879.064000,0.01625252
120,7879.065000,0.01601505
121,7879.066000,0.01577187
122,7879.067000,0.01550579
123,7879.068000,0.0153513
124,7879.069000,0.01514149
125,7879.070000,0.01494122
126,7879.071000,0.01469135
127,7879.072000,0.01438713
128,7879.073000,0.01416111
129,7879.074000,0.0139389
130,7879.075000,0.01372337
131,7879.076000,0.01350307
132,7879.077000,0.01326275
133,7879.078000,0.01295471
134,7879.079000,0.01264
135,7879.080000,0.01241398
136,7879.081000,0.01190186
137,7879.082000,0.01153278
138,7879.083000,0.0111475
139,7879.084000,0.01083469
140,7879.085000,0.01041412
141,7879.086000,0.01000881
142,7879.087000,0.00955677
143,7879.088000,0.009021759
144,7879.089000,0.008460045
145,7879.090000,0.007898331
146,7879.091000,0.007308006
147,7879.092000,0.006688118
148,7879.093000,0.006184578
149,7879.094000,0.005494118
150,7879.095000,0.004857063
151,7879.096000,0.00433445
152,7879.097000,0.003678322
153,7879.098000,0.002924919
154,7879.099000,0.002498627
155,7879.100000,0.001818657
156,7879.101000,0.001211166
157,7879.102000,6.065369E-4
158,7879.103000,-1.068115E-4
159,7879.104000,-7.505417E-4
160,7879.105000,-0.001481056
161,7879.106000,-0.002099991
162,7879.107000,-0.002886772
163,7879.108000,-0.003580093
164,7879.109000,-0.004404068
165,7879.110000,-0.005373955
166,7879.111000,-0.005991936
167,7879.112000,-0.006604195
168,7879.113000,-0.007351875
169,7879.114000,-0.007803917
170,7879.115000,-0.008337021
171,7879.116000,-0.009025574
172,7879.117000,-0.009509087
173,7879.118000,-0.009903908
174,7879.119000,-0.01049805
175,7879.120000,-0.01097584
176,7879.121000,-0.01150322
177,7879.122000,-0.0119915
178,7879.123000,-0.01241207
179,7879.124000,-0.01275539
180,7879.125000,-0.01308441
181,7879.126000,-0.01316643
182,7879.127000,-0.01291656
183,7879.128000,-0.01244736
184,7879.129000,-0.01165771
185,7879.130000,-0.01070976
186,7879.131000,-0.009770393
187,7879.132000,-0.008332253
188,7879.133000,-0.006626129
189,7879.134000,-0.004778862
