#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
124,7879.069000,1.051482
125,7879.070000,1.097285
126,7879.071000,1.039673
127,7879.072000,1.004471
128,7879.073000,1.012157
129,7879.074000,0.9780209
130,7879.075000,0.9325528
131,7879.076000,0.9089202
132,7879.077000,0.9050882
133,7879.078000,0.8866507
134,7879.079000,0.8596196
135,7879.080000,0.8438593
136,7879.081000,0.8350903
137,7879.082000,0.8227447
138,7879.083000,0.8091472
139,7879.084000,0.8082066
140,7879.085000,0.7989687
141,7879.086000,0.7951757
142,7879.087000,0.7903033
143,7879.088000,0.7828412
144,7879.089000,0.7718065
145,7879.090000,0.7819095
146,7879.091000,0.8144088
147,7879.092000,0.7581333
148,7879.093000,0.7402762
149,7879.094000,0.8490085
150,7879.095000,0.7710105
151,7879.096000,0.7917512
152,7879.097000,0.7925216
153,7879.098000,0.7940087
154,7879.099000,0.7963666
155,7879.100000,0.7981339
156,7879.101000,0.7995948
157,7879.102000,0.8034201
158,7879.103000,0.8096435
159,7879.104000,0.8192606
160,7879.105000,0.8331559
161,7879.106000,0.8384734
162,7879.107000,0.834675
163,7879.108000,0.8778257
164,7879.109000,0.8717303
165,7879.110000,0.8865624
166,7879.111000,0.8903962
167,7879.112000,0.9255129
168,7879.113000,0.9245154
169,7879.114000,0.9373095
170,7879.115000,0.9409938
171,7879.116000,0.9413981
172,7879.117000,0.9369707
173,7879.118000,0.9625693
174,7879.119000,1.02148
175,7879.120000,1.034826
176,7879.121000,1.006078
177,7879.122000,1.017028
178,7879.123000,1.05608
179,7879.124000,1.037359
180,7879.125000,1.057836
181,7879.126000,1.110236
182,7879.127000,1.093113
183,7879.128000,1.115837
184,7879.129000,1.134224
185,7879.130000,1.151756
186,7879.131000,1.169626
187,7879.132000,1.188513
188,7879.133000,1.208112
189,7879.134000,1.227592
190,7879.135000,1.246941
191,7879.136000,1.266518
192,7879.137000,1.286105
193,7879.138000,1.306145
194,7879.139000,1.326657
195,7879.140000,1.34743
196,7879.141000,1.368568
197,7879.142000,1.385864
198,7879.143000,1.398883
199,7879.144000,1.415552
200,7879.145000,1.435262
201,7879.146000,1.418975
202,7879.147000,1.444069
203,7879.148000,1.446374
204,7879.149000,1.447682
