#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
120,7879.065000,-1.109102
121,7879.066000,-0.9911236
122,7879.067000,-0.9225464
123,7879.068000,-0.9180964
124,7879.069000,-1.032615
125,7879.070000,-1.09276
126,7879.071000,-1.118846
127,7879.072000,-1.119563
128,7879.073000,-1.061251
129,7879.074000,-1.032477
130,7879.075000,-1.026534
131,7879.076000,-1.023003
132,7879.077000,-1.039273
133,7879.078000,-1.032254
134,7879.079000,-1.001389
135,7879.080000,-0.9775453
136,7879.081000,-0.9522859
137,7879.082000,-0.9318401
138,7879.083000,-0.9206777
139,7879.084000,-0.9430388
140,7879.085000,-0.9383096
141,7879.086000,-0.939304
142,7879.087000,-0.9218411
143,7879.088000,-0.9034791
144,7879.089000,-0.878658
145,7879.090000,-0.8381547
146,7879.091000,-0.8376397
147,7879.092000,-0.8167338
148,7879.093000,-0.7981288
149,7879.094000,-0.7746699
150,7879.095000,-0.7441719
151,7879.096000,-0.7117764
152,7879.097000,-0.6758016
153,7879.098000,-0.6373345
154,7879.099000,-0.5968704
155,7879.100000,-0.5522987
156,7879.101000,-0.5039113
157,7879.102000,-0.4553518
158,7879.103000,-0.4065918
159,7879.104000,-0.3560593
160,7879.105000,-0.3046125
161,7879.106000,-0.249705
162,7879.107000,-0.1911213
163,7879.108000,-0.1308047
164,7879.109000,-0.06815648
165,7879.110000,-0.01409042
166,7879.111000,0.03007567
167,7879.112000,0.06989247
168,7879.113000,0.1021432
169,7879.114000,0.1326524
170,7879.115000,0.1616821
171,7879.116000,0.1833765
172,7879.117000,0.198769
173,7879.118000,0.2144612
174,7879.119000,0.2300916
175,7879.120000,0.2429788
176,7879.121000,0.2545413
177,7879.122000,0.2634478
178,7879.123000,0.2696
179,7879.124000,0.2747937
180,7879.125000,0.2788496
181,7879.126000,0.2823957
182,7879.127000,0.285894
183,7879.128000,0.2890799
184,7879.129000,0.2923578
185,7879.130000,0.2960047
186,7879.131000,0.300226
187,7879.132000,0.3054031
188,7879.133000,0.3117893
189,7879.134000,0.3147582
190,7879.135000,0.3140951
191,7879.136000,0.3123419
192,7879.137000,0.308351
193,7879.138000,0.3051925
194,7879.139000,0.3032306
195,7879.140000,0.3000383
