#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7879.071000,2.165922
127,7879.072000,2.151857
128,7879.073000,2.139992
129,7879.074000,2.125996
130,7879.075000,2.109571
131,7879.076000,2.094063
132,7879.077000,2.078496
133,7879.078000,2.060688
134,7879.079000,2.040781
135,7879.080000,2.019102
136,7879.081000,1.995107
137,7879.082000,1.970843
138,7879.083000,1.946309
139,7879.084000,1.920003
140,7879.085000,1.89232
141,7879.086000,1.863603
142,7879.087000,1.833692
143,7879.088000,1.802663
144,7879.089000,1.770548
145,7879.090000,1.736685
146,7879.091000,1.701038
147,7879.092000,1.663931
148,7879.093000,1.625193
149,7879.094000,1.587801
150,7879.095000,1.55205
151,7879.096000,1.516395
152,7879.097000,1.481673
153,7879.098000,1.446217
154,7879.099000,1.409912
155,7879.100000,1.374333
156,7879.101000,1.339146
157,7879.102000,1.300094
158,7879.103000,1.256985
159,7879.104000,1.21163
160,7879.105000,1.162894
161,7879.106000,1.113667
162,7879.107000,1.064097
163,7879.108000,1.011763
164,7879.109000,0.9572574
165,7879.110000,0.9139956
166,7879.111000,0.8830235
167,7879.112000,0.8584377
168,7879.113000,0.8440206
169,7879.114000,0.8314232
170,7879.115000,0.8203346
171,7879.116000,0.8183354
172,7879.117000,0.8238597
173,7879.118000,0.7867843
174,7879.119000,0.7031709
175,7879.120000,0.5956659
176,7879.121000,0.4502103
177,7879.122000,0.3916456
178,7879.123000,0.4309793
179,7879.124000,0.4962763
180,7879.125000,0.6208106
181,7879.126000,0.6526612
182,7879.127000,0.5754786
183,7879.128000,0.4901663
184,7879.129000,0.3566673
185,7879.130000,0.2537743
186,7879.131000,0.194327
187,7879.132000,0.1069384
188,7879.133000,0.01186074
189,7879.134000,0.006903827
190,7879.135000,0.09423553
191,7879.136000,0.2436065
192,7879.137000,0.481529
193,7879.138000,0.5477808
194,7879.139000,0.4223056
195,7879.140000,0.2531182
196,7879.141000,-0.02781872
197,7879.142000,-0.161549
198,7879.143000,-0.1195918
199,7879.144000,-0.08352129
200,7879.145000,0.01378435
201,7879.146000,0.04276895
202,7879.147000,-0.02128542
203,7879.148000,-0.06146656
204,7879.149000,-0.1131208
205,7879.150000,-0.1510724
