#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7879.071000,5.378046
127,7879.072000,5.365414
128,7879.073000,5.344024
129,7879.074000,5.345571
130,7879.075000,5.371488
131,7879.076000,5.365203
132,7879.077000,5.330448
133,7879.078000,5.314802
134,7879.079000,5.309476
135,7879.080000,5.296648
136,7879.081000,5.282999
137,7879.082000,5.276325
138,7879.083000,5.27583
139,7879.084000,5.31389
140,7879.085000,5.328856
141,7879.086000,5.349701
142,7879.087000,5.353297
143,7879.088000,5.357986
144,7879.089000,5.357764
145,7879.090000,5.344193
146,7879.091000,5.373038
147,7879.092000,5.383357
148,7879.093000,5.398035
149,7879.094000,5.410076
150,7879.095000,5.417268
151,7879.096000,5.424842
152,7879.097000,5.431163
153,7879.098000,5.437139
154,7879.099000,5.443297
155,7879.100000,5.447673
156,7879.101000,5.450542
157,7879.102000,5.455552
158,7879.103000,5.462706
159,7879.104000,5.470441
160,7879.105000,5.479636
161,7879.106000,5.487822
162,7879.107000,5.494805
163,7879.108000,5.502524
164,7879.109000,5.510415
165,7879.110000,5.517617
166,7879.111000,5.524253
167,7879.112000,5.530322
168,7879.113000,5.535626
169,7879.114000,5.541111
170,7879.115000,5.546762
171,7879.116000,5.55194
172,7879.117000,5.556828
173,7879.118000,5.559275
174,7879.119000,5.558983
175,7879.120000,5.557077
176,7879.121000,5.552906
177,7879.122000,5.551837
178,7879.123000,5.554353
179,7879.124000,5.557309
180,7879.125000,5.562133
181,7879.126000,5.563652
182,7879.127000,5.561288
183,7879.128000,5.558736
184,7879.129000,5.55466
185,7879.130000,5.551651
186,7879.131000,5.550227
187,7879.132000,5.548061
188,7879.133000,5.545875
189,7879.134000,5.545896
190,7879.135000,5.548134
191,7879.136000,5.552141
192,7879.137000,5.558537
193,7879.138000,5.565714
194,7879.139000,5.573735
195,7879.140000,5.583994
196,7879.141000,5.596249
197,7879.142000,5.591839
198,7879.143000,5.569101
199,7879.144000,5.536685
200,7879.145000,5.489284
201,7879.146000,5.470377
202,7879.147000,5.483766
203,7879.148000,5.504113
204,7879.149000,5.542939
205,7879.150000,5.5624
206,7879.151000,5.558231
207,7879.152000,5.564074
208,7879.153000,5.570864
209,7879.154000,5.551663
