#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
116,7642.075000,-2.348443
117,7642.076000,-2.405696
118,7642.077000,-2.364753
119,7642.078000,-2.376796
120,7642.079000,-2.312697
121,7642.080000,-2.221201
122,7642.081000,-2.159389
123,7642.082000,-2.097279
124,7642.083000,-2.071573
125,7642.084000,-2.008987
126,7642.085000,-2.032954
127,7642.086000,-1.958323
128,7642.087000,-1.861958
129,7642.088000,-1.897254
130,7642.089000,-1.97152
131,7642.090000,-1.612102
132,7642.091000,-1.795488
133,7642.092000,-1.725043
134,7642.093000,-1.685418
135,7642.094000,-1.6371
136,7642.095000,-1.559643
137,7642.096000,-1.699844
138,7642.097000,-1.650248
139,7642.098000,-1.306954
140,7642.099000,-1.323514
141,7642.100000,-1.415751
142,7642.101000,-1.29254
143,7642.102000,-1.134004
144,7642.103000,-1.142136
145,7642.104000,-1.070534
146,7642.105000,-1.046215
147,7642.106000,-0.9335236
148,7642.107000,-0.9126397
149,7642.108000,-0.8346608
150,7642.109000,-0.7547824
151,7642.110000,-0.728723
152,7642.111000,-0.6338252
153,7642.112000,-0.5795038
154,7642.113000,-0.5125528
155,7642.114000,-0.4372573
156,7642.115000,-0.3487874
157,7642.116000,-0.3071723
158,7642.117000,-0.1761377
159,7642.118000,-0.1494422
160,7642.119000,-0.1434091
161,7642.120000,-0.07231003
162,7642.121000,0.07227571
163,7642.122000,0.04975963
164,7642.123000,0.1334351
165,7642.124000,0.01358139
166,7642.125000,0.20891
167,7642.126000,0.3105271
168,7642.127000,0.1097403
169,7642.128000,0.207275
170,7642.129000,0.2752605
171,7642.130000,0.3110197
172,7642.131000,0.3496065
173,7642.132000,0.1411763
174,7642.133000,0.2385284
175,7642.134000,0.372835
176,7642.135000,0.3940373
177,7642.136000,0.159723
178,7642.137000,0.3695352
179,7642.138000,0.5295041
180,7642.139000,0.411043
181,7642.140000,0.5385795
182,7642.141000,0.6485191
183,7642.142000,0.5853375
184,7642.143000,0.7001935
185,7642.144000,0.7603991
186,7642.145000,0.6031294
187,7642.146000,0.560145
188,7642.147000,0.5180836
189,7642.148000,0.4816678
190,7642.149000,0.5076774
191,7642.150000,0.4456201
192,7642.151000,0.3249249
193,7642.152000,0.235198
194,7642.153000,0.365353
195,7642.154000,0.6068757
196,7642.155000,0.3721409
197,7642.156000,0.4458886
198,7642.157000,0.6100182
199,7642.158000,0.3995875
200,7642.159000,0.6668851
201,7642.160000,0.5246899
202,7642.161000,0.4151238
203,7642.162000,0.4512213
204,7642.163000,0.4327662
205,7642.164000,0.487556
206,7642.165000,0.3232113
207,7642.166000,0.3223839
208,7642.167000,0.2915896
209,7642.168000,0.2187507
210,7642.169000,0.3119566
211,7642.170000,0.2143474
212,7642.171000,0.07443037
213,7642.172000,0.2782298
214,7642.173000,0.1006164
215,7642.174000,0.07925
216,7642.175000,0.05995959
217,7642.176000,-0.003021713
218,7642.177000,-0.03421346
219,7642.178000,-0.08412357
220,7642.179000,-0.09491054
221,7642.180000,-0.1186876
222,7642.181000,-0.2542335
