#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
117,7757.955000,-4.753696
118,7757.956000,-4.738049
119,7757.957000,-4.600298
120,7757.958000,-4.444274
121,7757.959000,-4.48051
122,7757.960000,-4.600254
123,7757.961000,-4.651021
124,7757.962000,-4.434252
125,7757.963000,-4.456234
126,7757.964000,-4.136091
127,7757.965000,-3.640029
128,7757.966000,-3.995943
129,7757.967000,-4.707072
130,7757.968000,-4.229027
131,7757.969000,-4.111435
132,7757.970000,-4.448691
133,7757.971000,-4.662243
134,7757.972000,-3.958228
135,7757.973000,-3.757376
136,7757.974000,-4.243629
137,7757.975000,-3.764851
138,7757.976000,-3.648571
139,7757.977000,-4.02636
140,7757.978000,-4.320757
141,7757.979000,-4.468665
142,7757.980000,-4.434852
143,7757.981000,-4.429976
144,7757.982000,-4.430368
145,7757.983000,-4.196324
146,7757.984000,-3.869761
147,7757.985000,-4.062639
148,7757.986000,-4.502515
149,7757.987000,-3.995401
150,7757.988000,-3.793889
151,7757.989000,-4.264527
152,7757.990000,-4.487455
153,7757.991000,-4.14139
154,7757.992000,-3.766596
155,7757.993000,-4.055056
156,7757.994000,-4.167937
157,7757.995000,-4.018303
158,7757.996000,-4.241987
159,7757.997000,-4.144465
160,7757.998000,-3.927454
161,7757.999000,-3.79582
162,7758.000000,-3.849903
163,7758.001000,-3.647093
164,7758.002000,-3.633416
165,7758.003000,-3.829974
166,7758.004000,-3.683348
167,7758.005000,-4.003514
168,7758.006000,-3.801031
169,7758.007000,-3.65037
170,7758.008000,-4.243908
171,7758.009000,-4.334457
172,7758.010000,-3.911464
173,7758.011000,-3.89991
174,7758.012000,-3.777557
175,7758.013000,-3.710818
176,7758.014000,-3.99589
177,7758.015000,-3.890856
178,7758.016000,-3.899626
179,7758.017000,-3.857865
180,7758.018000,-3.832285
181,7758.019000,-3.857121
182,7758.020000,-3.893762
183,7758.021000,-3.991073
184,7758.022000,-3.993352
185,7758.023000,-3.903177
186,7758.024000,-3.836786
187,7758.025000,-3.841605
188,7758.026000,-3.728378
189,7758.027000,-3.537424
190,7758.028000,-3.599359
191,7758.029000,-3.908875
192,7758.030000,-4.262702
193,7758.031000,-3.668244
194,7758.032000,-3.40737
195,7758.033000,-3.736667
196,7758.034000,-3.784787
197,7758.035000,-3.617387
198,7758.036000,-3.816507
199,7758.037000,-4.014143
200,7758.038000,-3.56313
201,7758.039000,-3.791953
202,7758.040000,-4.019646
203,7758.041000,-3.817919
204,7758.042000,-3.757843
205,7758.043000,-3.607193
206,7758.044000,-3.655727
207,7758.045000,-3.649085
208,7758.046000,-3.447674
209,7758.047000,-3.28887
210,7758.048000,-3.905529
211,7758.049000,-3.741485
212,7758.050000,-3.709191
213,7758.051000,-3.674012
214,7758.052000,-3.529979
215,7758.053000,-3.494282
216,7758.054000,-3.296843
217,7758.055000,-3.501572
218,7758.056000,-3.357339
219,7758.057000,-2.996959
220,7758.058000,-3.491687
221,7758.059000,-3.61201
222,7758.060000,-3.406238
223,7758.061000,-3.569654
224,7758.062000,-3.305038
