#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7757.964000,6.563315
127,7757.965000,6.903754
128,7757.966000,6.635365
129,7757.967000,6.059906
130,7757.968000,5.029124
131,7757.969000,5.1723
132,7757.970000,5.409476
133,7757.971000,5.515331
134,7757.972000,6.311067
135,7757.973000,6.57827
136,7757.974000,6.709766
137,7757.975000,6.119254
138,7757.976000,5.740977
139,7757.977000,5.646271
140,7757.978000,5.373981
141,7757.979000,5.252966
142,7757.980000,5.404572
143,7757.981000,5.588273
144,7757.982000,5.697897
145,7757.983000,6.093799
146,7757.984000,6.033023
147,7757.985000,6.045496
148,7757.986000,6.075618
149,7757.987000,5.600709
150,7757.988000,5.123814
151,7757.989000,4.819723
152,7757.990000,4.808348
153,7757.991000,5.145699
154,7757.992000,5.618602
155,7757.993000,6.08005
156,7757.994000,6.326085
157,7757.995000,5.797085
158,7757.996000,5.615765
159,7757.997000,5.073444
160,7757.998000,4.597403
161,7757.999000,4.591106
162,7758.000000,5.192842
163,7758.001000,5.383616
164,7758.002000,5.731371
165,7758.003000,5.960814
166,7758.004000,5.582957
167,7758.005000,5.332208
168,7758.006000,5.0304
169,7758.007000,4.523406
170,7758.008000,4.770988
171,7758.009000,5.075678
172,7758.010000,5.502682
173,7758.011000,5.8381
174,7758.012000,5.764557
175,7758.013000,5.360665
176,7758.014000,5.350581
177,7758.015000,4.991486
178,7758.016000,4.679668
179,7758.017000,5.04168
180,7758.018000,5.126972
181,7758.019000,5.258369
182,7758.020000,5.30723
183,7758.021000,5.068892
184,7758.022000,4.989635
185,7758.023000,4.977406
186,7758.024000,5.022283
187,7758.025000,5.111165
188,7758.026000,5.144109
189,7758.027000,5.096333
190,7758.028000,4.889917
191,7758.029000,4.90638
192,7758.030000,5.127232
193,7758.031000,4.681826
194,7758.032000,4.569062
195,7758.033000,5.06761
196,7758.034000,5.062258
197,7758.035000,5.057022
198,7758.036000,5.036484
199,7758.037000,5.2188
200,7758.038000,4.799468
201,7758.039000,4.874044
202,7758.040000,5.101932
203,7758.041000,4.939823
204,7758.042000,5.049609
205,7758.043000,5.015771
206,7758.044000,4.887051
207,7758.045000,4.884665
208,7758.046000,4.667928
209,7758.047000,4.552875
