#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
373,7758.211000,-2.236256
374,7758.212000,-2.263843
375,7758.213000,-2.108771
376,7758.214000,-2.300075
377,7758.215000,-2.191255
378,7758.216000,-2.071028
379,7758.217000,-2.10012
380,7758.218000,-2.078184
381,7758.219000,-2.127577
382,7758.220000,-2.185317
383,7758.221000,-2.339976
384,7758.222000,-2.138716
385,7758.223000,-1.960557
386,7758.224000,-1.873912
387,7758.225000,-1.915201
388,7758.226000,-2.119532
389,7758.227000,-2.182993
390,7758.228000,-2.238705
391,7758.229000,-1.941444
392,7758.230000,-1.951728
393,7758.231000,-2.03222
394,7758.232000,-1.919508
395,7758.233000,-1.789547
396,7758.234000,-1.910514
397,7758.235000,-1.984101
398,7758.236000,-1.84739
399,7758.237000,-1.854496
400,7758.238000,-2.040487
401,7758.239000,-1.921362
402,7758.240000,-1.777444
403,7758.241000,-1.765415
404,7758.242000,-1.712908
405,7758.243000,-1.740549
406,7758.244000,-1.732517
407,7758.245000,-1.728609
408,7758.246000,-1.754528
409,7758.247000,-1.729954
410,7758.248000,-1.718777
411,7758.249000,-1.692439
412,7758.250000,-1.644049
413,7758.251000,-1.570852
414,7758.252000,-1.681953
415,7758.253000,-1.726003
416,7758.254000,-1.490689
417,7758.255000,-1.675934
418,7758.256000,-1.632903
419,7758.257000,-1.490983
420,7758.258000,-1.510041
421,7758.259000,-1.719175
422,7758.260000,-1.677656
423,7758.261000,-1.435622
424,7758.262000,-1.590855
425,7758.263000,-1.572078
426,7758.264000,-1.542459
427,7758.265000,-1.509092
428,7758.266000,-1.504419
429,7758.267000,-1.557235
430,7758.268000,-1.557259
431,7758.269000,-1.493759
432,7758.270000,-1.607013
433,7758.271000,-1.424452
434,7758.272000,-1.368946
435,7758.273000,-1.430024
436,7758.274000,-1.515671
437,7758.275000,-1.553479
438,7758.276000,-1.593694
439,7758.277000,-1.645469
440,7758.278000,-1.423037
441,7758.279000,-1.624071
442,7758.280000,-1.53759
443,7758.281000,-1.685698
444,7758.282000,-1.734014
445,7758.283000,-1.774998
446,7758.284000,-2.09317
447,7758.285000,-1.869188
448,7758.286000,-1.859665
449,7758.287000,-1.867182
450,7758.288000,-1.845294
451,7758.289000,-1.894493
452,7758.290000,-1.925704
453,7758.291000,-1.874983
454,7758.292000,-1.880192
455,7758.293000,-1.93651
456,7758.294000,-1.932792
457,7758.295000,-1.881476
458,7758.296000,-2.046102
459,7758.297000,-2.158642
460,7758.298000,-2.050033
461,7758.299000,-2.020604
462,7758.300000,-2.095352
463,7758.301000,-2.230238
464,7758.302000,-2.409561
465,7758.303000,-2.259184
466,7758.304000,-2.48336
467,7758.305000,-2.413529
468,7758.306000,-2.428776
469,7758.307000,-2.642424
470,7758.308000,-2.546575
471,7758.309000,-2.660269
472,7758.310000,-2.679415
473,7758.311000,-2.751737
474,7758.312000,-2.847292
475,7758.313000,-2.993935
476,7758.314000,-2.804206
477,7758.315000,-2.92124
478,7758.316000,-3.142412
479,7758.317000,-3.079623
480,7758.318000,-3.141258
481,7758.319000,-3.201164
482,7758.320000,-3.313356
483,7758.321000,-3.350635
484,7758.322000,-3.489026
485,7758.323000,-3.564928
486,7758.324000,-3.604468
487,7758.325000,-3.749457
488,7758.326000,-3.747784
489,7758.327000,-3.783293
490,7758.328000,-3.714209
491,7758.329000,-3.698917
492,7758.330000,-4.185235
493,7758.331000,-4.327733
494,7758.332000,-4.106445
495,7758.333000,-4.294409
496,7758.334000,-4.437299
497,7758.335000,-4.465753
498,7758.336000,-4.513446
499,7758.337000,-4.518888
500,7758.338000,-4.834933
501,7758.339000,-4.831535
502,7758.340000,-4.918659
503,7758.341000,-5.01168
504,7758.342000,-5.035723
505,7758.343000,-5.175383
506,7758.344000,-5.344738
507,7758.345000,-5.418285
508,7758.346000,-5.488116
509,7758.347000,-5.476502
510,7758.348000,-5.486463
511,7758.349000,-5.5579
512,7758.350000,-5.584597
513,7758.351000,-5.704881
