#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7757.964000,9.470605
127,7757.965000,9.140855
128,7757.966000,9.006471
129,7757.967000,8.882132
130,7757.968000,8.88899
131,7757.969000,9.127519
132,7757.970000,9.202247
133,7757.971000,9.155258
134,7757.972000,8.891703
135,7757.973000,8.919111
136,7757.974000,9.070821
137,7757.975000,8.998452
138,7757.976000,8.904272
139,7757.977000,9.000343
140,7757.978000,9.032704
141,7757.979000,9.056867
142,7757.980000,9.10166
143,7757.981000,9.140171
144,7757.982000,9.148899
145,7757.983000,9.120723
146,7757.984000,8.700053
147,7757.985000,8.67615
148,7757.986000,8.953017
149,7757.987000,9.038835
150,7757.988000,9.178437
151,7757.989000,9.125883
152,7757.990000,9.072358
153,7757.991000,8.973409
154,7757.992000,8.997622
155,7757.993000,8.820908
156,7757.994000,8.794859
157,7757.995000,8.816108
158,7757.996000,8.878078
159,7757.997000,9.004934
160,7757.998000,9.022125
161,7757.999000,8.918864
162,7758.000000,8.833673
163,7758.001000,8.726765
164,7758.002000,8.570302
165,7758.003000,8.662067
166,7758.004000,8.749339
167,7758.005000,8.786062
168,7758.006000,8.89664
169,7758.007000,8.798618
170,7758.008000,8.759329
171,7758.009000,8.678001
172,7758.010000,8.623587
173,7758.011000,8.60777
174,7758.012000,8.569319
175,7758.013000,8.536879
176,7758.014000,8.520078
177,7758.015000,8.519589
178,7758.016000,8.534512
179,7758.017000,8.569151
180,7758.018000,8.594872
181,7758.019000,8.520039
182,7758.020000,8.477696
183,7758.021000,8.421437
184,7758.022000,8.326531
185,7758.023000,8.335828
186,7758.024000,8.41523
187,7758.025000,8.401201
188,7758.026000,8.397785
189,7758.027000,8.319418
190,7758.028000,8.206735
191,7758.029000,8.036805
192,7758.030000,8.216518
193,7758.031000,8.547414
194,7758.032000,8.64504
195,7758.033000,8.469808
196,7758.034000,8.304489
197,7758.035000,8.118064
198,7758.036000,8.093968
199,7758.037000,8.310956
200,7758.038000,8.424857
201,7758.039000,8.49523
202,7758.040000,8.472075
203,7758.041000,8.291215
204,7758.042000,8.261624
205,7758.043000,8.367208
206,7758.044000,8.37515
207,7758.045000,8.336092
208,7758.046000,8.430633
209,7758.047000,8.43799
