DATE,DEXTAUS
2008-06-26,30.3900
2008-06-27,30.3700
2008-06-30,30.3600
2008-07-01,30.3700
2008-07-02,30.3800
2008-07-03,30.4300
2008-07-04,.
2008-07-07,30.3800
2008-07-08,30.3800
2008-07-09,30.4000
2008-07-10,30.4300
2008-07-11,30.3800
2008-07-14,30.4000
2008-07-15,30.3800
2008-07-16,30.3500
2008-07-17,30.3500
2008-07-18,30.3200
2008-07-21,30.3400
2008-07-22,30.3400
2008-07-23,30.3900
2008-07-24,30.4300
2008-07-25,30.4500
2008-07-28,30.4000
2008-07-29,30.4800
2008-07-30,30.6100
2008-07-31,30.7200
2008-08-01,30.7500
2008-08-04,30.7000
2008-08-05,30.7400
2008-08-06,30.7400
2008-08-07,31.0400
2008-08-08,31.2500
2008-08-11,31.1200
2008-08-12,31.1300
2008-08-13,31.2200
2008-08-14,31.2500
2008-08-15,31.3600
2008-08-18,31.3100
2008-08-19,31.4300
2008-08-20,31.4000
2008-08-21,31.2600
2008-08-22,31.3600
2008-08-25,31.4200
2008-08-26,31.5400
2008-08-27,31.5200
2008-08-28,31.5400
2008-08-29,31.5500
2008-09-01,.
2008-09-02,31.8300
2008-09-03,31.7900
2008-09-04,31.8400
2008-09-05,31.8600
2008-09-08,31.7700
2008-09-09,31.8600
2008-09-10,31.9400
2008-09-11,32.1200
2008-09-12,31.9300
2008-09-15,32.0700
2008-09-16,32.0800
2008-09-17,32.0900
2008-09-18,32.2200
2008-09-19,32.1600
2008-09-22,32.0200
2008-09-23,31.9100
2008-09-24,31.9100
2008-09-25,32.0400
2008-09-26,32.1200
2008-09-29,32.0500
2008-09-30,32.2300
2008-10-01,32.1400
2008-10-02,32.1400
2008-10-03,32.1500
2008-10-06,32.3400
2008-10-07,32.3700
2008-10-08,32.4500
2008-10-09,32.4400
2008-10-10,32.4400
2008-10-13,.
2008-10-14,32.4000
2008-10-15,32.3800
2008-10-16,32.5500
2008-10-17,32.5700
2008-10-20,32.5800
2008-10-21,32.8000
2008-10-22,32.9800
2008-10-23,33.4300
2008-10-24,33.4250
2008-10-27,33.5000
2008-10-28,33.4500
2008-10-29,33.2000
2008-10-30,32.7500
2008-10-31,32.9700
2008-11-03,32.8600
2008-11-04,32.8600
2008-11-05,32.8200
2008-11-06,32.8000
2008-11-07,32.8100
2008-11-10,32.7700
2008-11-11,.
2008-11-12,32.9500
2008-11-13,33.1800
2008-11-14,33.0500
2008-11-17,33.1600
2008-11-18,33.2300
2008-11-19,33.2600
2008-11-20,33.4200
2008-11-21,33.4000
2008-11-24,33.4000
2008-11-25,33.3400
2008-11-26,33.2500
2008-11-27,.
2008-11-28,33.2900
2008-12-01,33.3300
2008-12-02,33.4100
2008-12-03,33.5200
2008-12-04,33.5200
2008-12-05,33.5500
2008-12-08,33.4700
2008-12-09,33.4800
2008-12-10,33.4500
2008-12-11,33.2600
2008-12-12,33.2600
2008-12-15,33.1900
2008-12-16,33.0200
2008-12-17,33.5800
2008-12-18,32.4500
2008-12-19,32.4500
2008-12-22,32.9400
2008-12-23,33.0100
2008-12-24,33.0300
2008-12-25,.
2008-12-26,32.9900
2008-12-29,32.9900
2008-12-30,32.7600
2008-12-31,32.7600
2009-01-01,.
2009-01-02,32.8200
2009-01-05,33.0000
2009-01-06,33.1000
2009-01-07,33.0300
2009-01-08,33.1000
2009-01-09,33.1400
2009-01-12,33.2500
2009-01-13,33.2300
2009-01-14,33.2000
2009-01-15,33.3600
2009-01-16,33.3400
2009-01-19,.
2009-01-20,33.6300
2009-01-21,33.5800
2009-01-22,33.5300
2009-01-23,33.6800
2009-01-26,33.6800
2009-01-27,33.6800
2009-01-28,33.6800
2009-01-29,33.6600
2009-01-30,33.7000
2009-02-02,33.7000
2009-02-03,33.7200
2009-02-04,33.6600
2009-02-05,33.6600
2009-02-06,33.6100
2009-02-09,33.7100
2009-02-10,33.9500
2009-02-11,33.9700
2009-02-12,34.0200
2009-02-13,34.0300
2009-02-16,.
2009-02-17,34.5800
2009-02-18,34.6300
2009-02-19,34.5800
2009-02-20,34.8000
2009-02-23,34.6100
2009-02-24,34.7300
2009-02-25,34.7400
2009-02-26,34.8400
2009-02-27,35.0000
2009-03-02,35.2100
2009-03-03,35.0800
2009-03-04,35.0500
2009-03-05,34.9300
2009-03-06,34.6600
2009-03-09,34.8100
2009-03-10,34.5800
2009-03-11,34.4600
2009-03-12,34.4800
2009-03-13,34.4900
2009-03-16,34.4000
2009-03-17,34.2100
2009-03-18,34.1800
2009-03-19,33.9000
2009-03-20,33.7500
2009-03-23,33.7700
2009-03-24,33.7700
2009-03-25,33.8200
2009-03-26,33.7500
2009-03-27,33.7600
2009-03-30,33.7600
2009-03-31,33.8700
2009-04-01,33.8200
2009-04-02,33.0500
2009-04-03,33.1600
2009-04-06,33.1000
2009-04-07,33.6000
2009-04-08,33.8800
2009-04-09,33.7400
2009-04-10,33.7800
2009-04-13,33.6800
2009-04-14,33.6100
2009-04-15,33.7800
2009-04-16,33.8000
2009-04-17,32.9900
2009-04-20,33.8200
2009-04-21,33.8500
2009-04-22,33.8500
2009-04-23,33.8100
