DATE,DEXINUS
2009-03-04,51.5300
2009-03-05,51.6000
2009-03-06,51.6800
2009-03-09,51.9100
2009-03-10,51.3500
2009-03-11,50.9800
2009-03-12,51.6900
2009-03-13,51.5400
2009-03-16,51.3100
2009-03-17,51.4200
2009-03-18,51.2200
2009-03-19,50.2100
2009-03-20,50.5100
2009-03-23,50.3800
2009-03-24,50.4000
2009-03-25,50.5000
2009-03-26,50.4000
2009-03-27,50.4600
2009-03-30,51.1200
2009-03-31,50.8700
2009-04-01,50.4800
2009-04-02,50.2200
2009-04-03,49.9100
2009-04-06,50.0100
2009-04-07,50.0000
2009-04-08,50.2800
2009-04-09,49.8200
2009-04-10,49.7800
2009-04-13,49.7700
2009-04-14,49.6200
2009-04-15,49.5500
2009-04-16,49.6300
2009-04-17,49.8000
2009-04-20,49.7800
2009-04-21,50.4500
2009-04-22,50.2000
2009-04-23,49.8800
2009-04-24,49.6900
2009-04-27,50.1500
2009-04-28,50.4700
2009-04-29,50.0500
2009-04-30,49.7000
2009-05-01,49.6500
2009-05-04,49.7500
2009-05-05,49.2200
2009-05-06,49.4000
2009-05-07,49.0900
2009-05-08,49.1300
2009-05-11,49.4400
2009-05-12,49.2100
2009-05-13,49.5800
2009-05-14,49.6500
2009-05-15,49.3800
2009-05-18,47.5800
2009-05-19,47.6500
2009-05-20,47.3000
2009-05-21,47.3000
2009-05-22,46.9500
2009-05-25,.
2009-05-26,47.7000
2009-05-27,47.6100
2009-05-28,47.5000
2009-05-29,47.1100
2009-06-01,46.7800
2009-06-02,46.8400
2009-06-03,46.8800
2009-06-04,47.1900
2009-06-05,47.0500
2009-06-08,47.5000
2009-06-09,47.3000
2009-06-10,47.1800
2009-06-11,47.4900
2009-06-12,47.6000
2009-06-15,47.6700
2009-06-16,47.6100
2009-06-17,47.9600
2009-06-18,48.1800
2009-06-19,48.0000
2009-06-22,48.5000
2009-06-23,48.4500
2009-06-24,48.4000
2009-06-25,48.5000
2009-06-26,48.0000
2009-06-29,48.0000
2009-06-30,47.7400
2009-07-01,47.7500
2009-07-02,47.9000
2009-07-03,47.8000
2009-07-06,48.5000
2009-07-07,48.4400
2009-07-08,48.8000
2009-07-09,48.5700
2009-07-10,48.7600
2009-07-13,49.1600
2009-07-14,48.9550
2009-07-15,48.5500
2009-07-16,48.6100
2009-07-17,48.5600
2009-07-20,48.1000
2009-07-21,48.2000
2009-07-22,48.4500
2009-07-23,48.2500
2009-07-24,48.1600
2009-07-27,48.1100
2009-07-28,48.2000
2009-07-29,48.2500
2009-07-30,48.3500
2009-07-31,47.9100
2009-08-03,47.4000
2009-08-04,47.4600
2009-08-05,47.2700
2009-08-06,47.5200
2009-08-07,47.7200
2009-08-10,47.7000
2009-08-11,47.8800
2009-08-12,48.2200
2009-08-13,48.1100
2009-08-14,48.1800
2009-08-17,48.8200
2009-08-18,48.7900
2009-08-19,48.7000
2009-08-20,48.5800
2009-08-21,48.4300
2009-08-24,48.5000
2009-08-25,48.7550
2009-08-26,48.9000
2009-08-27,48.8100
2009-08-28,48.5200
2009-08-31,48.8300
2009-09-01,49.0500
2009-09-02,48.8800
2009-09-03,48.8700
2009-09-04,48.8600
2009-09-07,.
2009-09-08,48.4000
2009-09-09,48.3300
2009-09-10,48.4500
2009-09-11,48.3900
2009-09-14,48.6700
2009-09-15,48.5000
2009-09-16,48.2000
2009-09-17,48.1000
2009-09-18,48.0200
2009-09-21,47.9500
2009-09-22,47.8600
2009-09-23,47.9000
2009-09-24,47.8900
2009-09-25,47.9300
2009-09-28,47.7500
2009-09-29,48.0500
2009-09-30,48.0900
2009-10-01,47.7200
2009-10-02,47.6100
2009-10-05,47.3900
2009-10-06,46.7900
2009-10-07,46.5800
2009-10-08,46.2000
2009-10-09,46.4400
2009-10-12,.
2009-10-13,46.2800
2009-10-14,46.0000
2009-10-15,46.0400
2009-10-16,46.2000
2009-10-19,46.0200
2009-10-20,46.2400
2009-10-21,46.3400
2009-10-22,46.5900
2009-10-23,46.4100
2009-10-26,46.6800
2009-10-27,46.9300
2009-10-28,47.1600
2009-10-29,47.1800
2009-10-30,46.9000
2009-11-02,46.8100
2009-11-03,47.3700
2009-11-04,46.9400
2009-11-05,46.9300
2009-11-06,46.8300
2009-11-09,46.3600
2009-11-10,46.3000
2009-11-11,.
2009-11-12,46.6000
2009-11-13,46.2400
2009-11-16,46.0600
2009-11-17,46.2000
2009-11-18,46.2000
2009-11-19,46.7300
2009-11-20,46.6300
2009-11-23,46.4000
2009-11-24,46.3100
2009-11-25,46.1800
2009-11-26,.
2009-11-27,46.5500
2009-11-30,46.4400
2009-12-01,46.2100
2009-12-02,46.2400
2009-12-03,46.0000
2009-12-04,46.1000
2009-12-07,46.4500
2009-12-08,46.6000
2009-12-09,46.5100
2009-12-10,46.5000
2009-12-11,46.4700
2009-12-14,46.6500
2009-12-15,46.7000
2009-12-16,46.5700
2009-12-17,46.8500
2009-12-18,46.6900
2009-12-21,46.8000
2009-12-22,46.7800
2009-12-23,46.8000
2009-12-24,46.7200
2009-12-25,.
2009-12-28,46.4400
2009-12-29,46.5600
2009-12-30,46.5600
2009-12-31,46.4000
2010-01-01,.
2010-01-04,46.2700
2010-01-05,46.1300
2010-01-06,45.7200
2010-01-07,45.6700
2010-01-08,45.5000
2010-01-11,45.3500
2010-01-12,45.6000
2010-01-13,45.4700
2010-01-14,45.5500
2010-01-15,45.8000
2010-01-18,.
2010-01-19,45.8400
2010-01-20,46.1000
2010-01-21,46.1000
2010-01-22,46.2100
2010-01-25,46.0600
2010-01-26,.
2010-01-27,46.3000
2010-01-28,46.3500
2010-01-29,46.0800
2010-02-01,46.2700
2010-02-02,46.1100
2010-02-03,45.9700
2010-02-04,46.2100
2010-02-05,46.7200
2010-02-08,46.7900
2010-02-09,46.4900
2010-02-10,46.3600
2010-02-11,46.3900
2010-02-12,46.4400
2010-02-15,.
2010-02-16,45.9900
2010-02-17,46.0000
2010-02-18,46.2000
2010-02-19,46.2400
2010-02-22,46.1500
2010-02-23,46.2500
2010-02-24,46.2700
2010-02-25,46.2900
2010-02-26,46.0500
2010-03-01,46.0100
2010-03-02,46.0100
2010-03-03,45.5500
2010-03-04,45.8200
2010-03-05,45.4900
2010-03-08,45.5000
2010-03-09,45.6000
2010-03-10,45.3500
2010-03-11,45.4900
2010-03-12,45.4800
2010-03-15,45.5500
2010-03-16,45.4500
2010-03-17,45.2800
2010-03-18,45.4500
2010-03-19,45.3100
2010-03-22,45.5200
2010-03-23,45.5000
2010-03-24,45.4000
2010-03-25,45.5000
2010-03-26,45.1600
2010-03-29,44.9400
2010-03-30,45.0600
2010-03-31,44.9500
2010-04-01,44.7900
2010-04-02,44.7400
2010-04-05,44.3900
2010-04-06,44.4100
2010-04-07,44.4400
2010-04-08,44.4100
2010-04-09,44.1000
2010-04-12,44.4100
2010-04-13,44.4675
2010-04-14,44.2000
2010-04-15,44.3200
2010-04-16,44.3000
2010-04-19,44.7200
2010-04-20,44.5000
2010-04-21,44.5400
2010-04-22,44.5200
2010-04-23,44.4200
2010-04-26,44.3300
2010-04-27,44.4100
2010-04-28,44.5400
2010-04-29,44.6100
2010-04-30,44.2000
2010-05-03,44.4600
2010-05-04,44.6200
2010-05-05,44.8200
2010-05-06,45.2900
2010-05-07,45.4000
2010-05-10,44.8400
2010-05-11,45.1000
2010-05-12,45.0800
2010-05-13,45.0000
2010-05-14,45.2000
2010-05-17,45.5100
2010-05-18,45.5100
2010-05-19,46.2700
2010-05-20,46.8000
2010-05-21,46.9000
2010-05-24,46.9700
2010-05-25,47.4900
2010-05-26,47.1000
2010-05-27,46.7100
2010-05-28,46.3100
2010-05-31,.
2010-06-01,47.0800
2010-06-02,46.8900
2010-06-03,46.5500
2010-06-04,46.8500
2010-06-07,47.0800
2010-06-08,46.8200
2010-06-09,46.9500
2010-06-10,46.8900
2010-06-11,46.7600
2010-06-14,46.4000
2010-06-15,46.4100
2010-06-16,46.4300
2010-06-17,46.2200
2010-06-18,45.9600
2010-06-21,45.6400
2010-06-22,46.0000
2010-06-23,46.1850
2010-06-24,46.4775
2010-06-25,46.3600
2010-06-28,46.2000
2010-06-29,46.4000
2010-06-30,46.4100
2010-07-01,46.5900
2010-07-02,46.5500
2010-07-05,.
2010-07-06,46.7600
2010-07-07,46.9600
2010-07-08,46.8650
2010-07-09,46.6600
2010-07-12,46.6600
2010-07-13,46.7400
2010-07-14,46.7100
2010-07-15,46.5000
2010-07-16,46.7000
2010-07-19,47.1000
2010-07-20,47.2300
2010-07-21,47.0800
2010-07-22,47.1200
2010-07-23,46.9000
2010-07-26,47.0400
2010-07-27,46.2500
2010-07-28,46.7000
2010-07-29,46.5300
2010-07-30,46.3500
2010-08-02,46.0900
2010-08-03,46.1100
2010-08-04,46.0200
2010-08-05,46.0600
2010-08-06,45.9400
2010-08-09,46.0700
2010-08-10,46.3000
2010-08-11,46.6600
2010-08-12,46.7000
2010-08-13,46.6100
2010-08-16,46.6800
2010-08-17,46.6000
2010-08-18,46.5400
2010-08-19,46.3500
2010-08-20,45.7000
2010-08-23,46.5000
2010-08-24,46.8600
2010-08-25,46.8700
2010-08-26,46.7800
2010-08-27,46.8000
2010-08-30,46.8700
2010-08-31,47.0200
2010-09-01,46.7400
2010-09-02,46.6500
2010-09-03,46.5800
2010-09-06,.
2010-09-07,46.8200
2010-09-08,46.5000
2010-09-09,46.3000
2010-09-10,46.2800
2010-09-13,46.2600
2010-09-14,46.1500
2010-09-15,46.2300
2010-09-16,46.1400
2010-09-17,45.8800
2010-09-20,45.6500
2010-09-21,45.5900
2010-09-22,45.5600
2010-09-23,45.5600
2010-09-24,45.1000
2010-09-27,44.9400
2010-09-28,45.0400
2010-09-29,44.8000
2010-09-30,44.5600
2010-10-01,44.4100
2010-10-04,44.5500
2010-10-05,44.4600
2010-10-06,44.2500
2010-10-07,44.2100
2010-10-08,44.3900
2010-10-11,.
2010-10-12,44.5500
2010-10-13,44.3500
2010-10-14,44.0500
2010-10-15,44.1500
2010-10-18,44.2600
2010-10-19,44.3000
2010-10-20,44.2500
2010-10-21,44.2500
2010-10-22,44.5200
2010-10-25,44.3900
2010-10-26,44.5400
2010-10-27,44.4000
2010-10-28,44.3600
2010-10-29,44.4400
2010-11-01,44.3600
2010-11-02,44.0000
2010-11-03,44.3800
2010-11-04,44.0800
2010-11-05,43.9000
2010-11-08,44.2900
2010-11-09,44.2500
2010-11-10,44.2800
2010-11-11,.
2010-11-12,44.7800
2010-11-15,45.1100
2010-11-16,45.5100
2010-11-17,45.0900
2010-11-18,45.1400
2010-11-19,45.2500
2010-11-22,45.4800
2010-11-23,45.5600
2010-11-24,45.7200
2010-11-25,.
2010-11-26,45.8200
2010-11-29,45.8000
2010-11-30,45.8300
2010-12-01,45.2900
2010-12-02,45.0900
2010-12-03,44.9000
2010-12-06,44.8900
2010-12-07,44.7000
2010-12-08,45.0000
2010-12-09,45.1300
2010-12-10,45.1000
2010-12-13,45.1800
2010-12-14,45.0100
2010-12-15,45.3800
2010-12-16,45.5400
2010-12-17,45.1600
2010-12-20,45.4000
2010-12-21,45.1900
2010-12-22,45.0500
2010-12-23,45.0600
2010-12-24,.
2010-12-27,45.2600
2010-12-28,45.0000
2010-12-29,44.9700
2010-12-30,44.8000
2010-12-31,.
2011-01-03,44.5900
2011-01-04,44.9000
2011-01-05,45.3500
2011-01-06,45.1500
2011-01-07,45.3500
2011-01-10,45.3600
2011-01-11,45.0800
2011-01-12,45.0200
2011-01-13,45.0200
2011-01-14,45.4100
2011-01-17,.
2011-01-18,45.3200
2011-01-19,45.5000
2011-01-20,45.7700
2011-01-21,45.5800
2011-01-24,45.5100
2011-01-25,45.7000
2011-01-26,45.4600
2011-01-27,45.6800
2011-01-28,45.8300
2011-01-31,45.9200
2011-02-01,45.6500
2011-02-02,45.5500
2011-02-03,45.6600
2011-02-04,45.6000
2011-02-07,45.3500
2011-02-08,45.1500
2011-02-09,45.3600
2011-02-10,45.6400
2011-02-11,45.6000
2011-02-14,45.4400
2011-02-15,45.4100
2011-02-16,45.4000
2011-02-17,45.2500
2011-02-18,45.1000
2011-02-21,.
2011-02-22,45.1500
2011-02-23,45.0600
2011-02-24,45.4000
2011-02-25,45.2600
2011-02-28,45.1800
2011-03-01,44.8200
2011-03-02,44.8100
2011-03-03,45.0400
2011-03-04,44.8900
2011-03-07,44.9500
2011-03-08,45.0300
2011-03-09,44.8800
2011-03-10,45.1700
2011-03-11,45.2400
2011-03-14,44.9900
2011-03-15,45.2200
2011-03-16,45.0000
2011-03-17,45.1200
2011-03-18,45.0600
2011-03-21,44.9800
2011-03-22,44.9500
2011-03-23,44.8000
2011-03-24,44.6900
2011-03-25,44.6000
2011-03-28,44.8000
2011-03-29,44.7000
2011-03-30,44.7500
2011-03-31,44.5400
2011-04-01,44.4400
2011-04-04,44.3000
2011-04-05,44.3000
2011-04-06,44.0600
2011-04-07,44.1800
2011-04-08,44.0500
2011-04-11,44.3300
2011-04-12,44.1700
2011-04-13,44.4600
2011-04-14,44.3900
2011-04-15,44.2600
2011-04-18,44.3600
2011-04-19,44.4900
2011-04-20,44.3300
2011-04-21,44.2600
2011-04-22,44.3600
2011-04-25,44.4100
2011-04-26,44.5100
2011-04-27,44.0000
2011-04-28,44.4200
2011-04-29,44.2400
2011-05-02,44.2700
2011-05-03,44.4700
2011-05-04,44.3500
2011-05-05,44.7600
2011-05-06,44.7200
2011-05-09,44.6800
2011-05-10,44.7500
2011-05-11,44.5900
2011-05-12,44.9800
2011-05-13,44.8600
2011-05-16,45.1500
2011-05-17,45.1300
2011-05-18,45.0600
2011-05-19,44.9000
2011-05-20,44.9900
2011-05-23,45.2200
2011-05-24,45.2100
2011-05-25,45.3200
2011-05-26,45.3300
2011-05-27,45.1700
2011-05-30,.
2011-05-31,45.0400
2011-06-01,44.8400
2011-06-02,44.8600
2011-06-03,44.8200
2011-06-06,44.7800
2011-06-07,44.6700
2011-06-08,44.7200
2011-06-09,44.6400
2011-06-10,44.7200
2011-06-13,44.8500
2011-06-14,44.7400
2011-06-15,44.7900
2011-06-16,44.8800
2011-06-17,44.7600
2011-06-20,44.9200
2011-06-21,44.8400
2011-06-22,44.8200
2011-06-23,44.8900
2011-06-24,44.9900
2011-06-27,44.9400
2011-06-28,45.0000
2011-06-29,44.7800
2011-06-30,44.5900
2011-07-01,44.6200
2011-07-04,.
2011-07-05,44.3500
2011-07-06,44.4800
2011-07-07,44.3200
2011-07-08,44.4100
2011-07-11,44.4800
2011-07-12,44.6000
2011-07-13,44.5200
2011-07-14,44.5000
2011-07-15,44.5100
2011-07-18,44.6000
2011-07-19,44.4800
2011-07-20,44.4400
2011-07-21,44.4000
2011-07-22,44.3400
2011-07-25,44.3900
2011-07-26,44.1000
2011-07-27,44.1500
2011-07-28,44.0300
2011-07-29,44.2000
2011-08-01,44.0600
2011-08-02,44.2600
2011-08-03,44.3100
2011-08-04,44.5600
2011-08-05,44.7300
2011-08-08,45.0000
2011-08-09,45.2000
2011-08-10,45.2500
2011-08-11,45.2900
2011-08-12,45.3900
2011-08-15,45.2300
2011-08-16,45.2500
2011-08-17,45.3000
2011-08-18,45.7100
2011-08-19,45.6600
2011-08-22,45.5600
2011-08-23,45.6200
2011-08-24,45.8900
2011-08-25,46.0400
2011-08-26,46.1500
2011-08-29,45.9500
2011-08-30,46.0100
2011-08-31,45.7900
2011-09-01,45.6600
2011-09-02,45.7400
2011-09-05,.
