#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7506.535000,9.535816
127,7506.536000,9.562175
128,7506.537000,9.595328
129,7506.538000,9.549281
130,7506.539000,9.523508
131,7506.540000,9.590349
132,7506.541000,9.530947
133,7506.542000,9.532106
134,7506.543000,9.623407
135,7506.544000,9.617918
136,7506.545000,9.555645
137,7506.546000,9.558674
138,7506.547000,9.611273
139,7506.548000,9.580351
140,7506.549000,9.533057
141,7506.550000,9.648252
142,7506.551000,9.623244
143,7506.552000,9.545636
144,7506.553000,9.612487
145,7506.554000,9.595379
146,7506.555000,9.59386
147,7506.556000,9.596951
148,7506.557000,9.605235
149,7506.558000,9.585794
150,7506.559000,9.537067
151,7506.560000,9.626712
152,7506.561000,9.643348
153,7506.562000,9.507667
154,7506.563000,9.592235
155,7506.564000,9.589241
156,7506.565000,9.566919
157,7506.566000,9.569863
158,7506.567000,9.572305
159,7506.568000,9.556075
160,7506.569000,9.520267
161,7506.570000,9.577707
162,7506.571000,9.536829
163,7506.572000,9.519588
164,7506.573000,9.525373
165,7506.574000,9.513103
166,7506.575000,9.503624
167,7506.576000,9.49367
168,7506.577000,9.483232
169,7506.578000,9.47086
170,7506.579000,9.456441
171,7506.580000,9.448048
172,7506.581000,9.446038
173,7506.582000,9.408818
174,7506.583000,9.386008
175,7506.584000,9.409868
176,7506.585000,9.400426
177,7506.586000,9.33654
178,7506.587000,9.31696
179,7506.588000,9.364973
180,7506.589000,9.293694
181,7506.590000,9.296882
182,7506.591000,9.298976
183,7506.592000,9.247904
184,7506.593000,9.141006
185,7506.594000,9.301333
186,7506.595000,9.220448
187,7506.596000,9.102403
188,7506.597000,9.164376
189,7506.598000,9.124149
190,7506.599000,9.110437
191,7506.600000,9.103068
192,7506.601000,9.104134
193,7506.602000,9.079855
194,7506.603000,9.028207
195,7506.604000,9.080552
196,7506.605000,9.083722
197,7506.606000,9.035029
198,7506.607000,9.042439
199,7506.608000,9.066854
200,7506.609000,9.039593
201,7506.610000,9.045578
202,7506.611000,9.048372
203,7506.612000,9.050062
204,7506.613000,9.050764
205,7506.614000,9.062253
206,7506.615000,9.084717
207,7506.616000,9.044246
208,7506.617000,9.048325
209,7506.618000,9.086611
