#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
116,7506.525000,1.513247
117,7506.526000,-0.9991746
118,7506.527000,-3.069412
119,7506.528000,-2.831587
120,7506.529000,-2.262328
121,7506.530000,-1.277988
122,7506.531000,-0.2706776
123,7506.532000,-1.273001
124,7506.533000,2.449439
125,7506.534000,4.403395
126,7506.535000,-4.238722
127,7506.536000,1.601515
128,7506.537000,2.322748
129,7506.538000,-2.3115
130,7506.539000,1.923284
131,7506.540000,0.2148934
132,7506.541000,-1.816657
133,7506.542000,-0.79045
134,7506.543000,-0.9202203
135,7506.544000,-1.788949
136,7506.545000,-0.4229051
137,7506.546000,-1.515438
138,7506.547000,-3.781931
139,7506.548000,-0.07208747
140,7506.549000,-0.5805246
141,7506.550000,-1.320426
142,7506.551000,-1.777689
143,7506.552000,-0.3181264
144,7506.553000,-2.112677
145,7506.554000,-0.4673498
146,7506.555000,-0.2864264
147,7506.556000,-1.611326
148,7506.557000,-0.1459432
149,7506.558000,-0.3116045
150,7506.559000,-0.3504184
151,7506.560000,-0.7108837
152,7506.561000,-1.480183
153,7506.562000,0.4509156
154,7506.563000,-2.648945
155,7506.564000,-1.060148
156,7506.565000,-0.1305829
157,7506.566000,-3.416003
158,7506.567000,-1.852625
159,7506.568000,-1.742388
160,7506.569000,-1.102635
161,7506.570000,-2.036466
162,7506.571000,0.237905
163,7506.572000,1.812338
164,7506.573000,0.4637814
165,7506.574000,0.961395
166,7506.575000,1.651005
167,7506.576000,0.1333993
168,7506.577000,1.239361
169,7506.578000,-0.4986735
170,7506.579000,-0.8960125
171,7506.580000,-0.2882485
172,7506.581000,-2.944223
173,7506.582000,-2.155599
174,7506.583000,0.4317468
175,7506.584000,0.5201885
176,7506.585000,-1.115752
177,7506.586000,-2.295531
178,7506.587000,-3.63517
179,7506.588000,1.654947
180,7506.589000,-1.080125
181,7506.590000,-2.500617
182,7506.591000,0.5561513
183,7506.592000,2.041006
184,7506.593000,-1.267907
185,7506.594000,-1.212523
186,7506.595000,-0.3433836
187,7506.596000,-0.2490098
188,7506.597000,-0.4055166
189,7506.598000,-0.571525
190,7506.599000,-0.4247679
191,7506.600000,-0.4745771
192,7506.601000,-0.4977174
