#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
126,7506.535000,5.066743
127,7506.536000,4.833563
128,7506.537000,4.794205
129,7506.538000,5.004784
130,7506.539000,4.821766
131,7506.540000,4.859573
132,7506.541000,4.862492
133,7506.542000,4.826223
134,7506.543000,4.826142
135,7506.544000,4.810782
136,7506.545000,4.783463
137,7506.546000,4.773864
138,7506.547000,4.775954
139,7506.548000,4.723391
140,7506.549000,4.722905
141,7506.550000,4.707817
142,7506.551000,4.732019
143,7506.552000,4.629582
144,7506.553000,4.666127
145,7506.554000,4.64191
146,7506.555000,4.586757
147,7506.556000,4.621555
148,7506.557000,4.565425
149,7506.558000,4.553806
150,7506.559000,4.532785
151,7506.560000,4.52407
152,7506.561000,4.528847
153,7506.562000,4.48818
154,7506.563000,4.530345
155,7506.564000,4.514119
156,7506.565000,4.445808
157,7506.566000,4.546528
158,7506.567000,4.486074
159,7506.568000,4.481106
160,7506.569000,4.427962
161,7506.570000,4.508354
162,7506.571000,4.496116
163,7506.572000,4.409698
164,7506.573000,4.470417
165,7506.574000,4.453744
166,7506.575000,4.457567
167,7506.576000,4.447395
168,7506.577000,4.421456
169,7506.578000,4.48358
170,7506.579000,4.50373
171,7506.580000,4.467946
172,7506.581000,4.537668
173,7506.582000,4.536119
174,7506.583000,4.46722
175,7506.584000,4.452304
176,7506.585000,4.463895
177,7506.586000,4.542576
178,7506.587000,4.659917
179,7506.588000,4.367036
180,7506.589000,4.515239
181,7506.590000,4.60396
182,7506.591000,4.460933
183,7506.592000,4.412312
184,7506.593000,4.53603
185,7506.594000,4.529201
186,7506.595000,4.496658
187,7506.596000,4.491019
188,7506.597000,4.496042
189,7506.598000,4.492391
190,7506.599000,4.488403
191,7506.600000,4.484591
192,7506.601000,4.479588
193,7506.602000,4.475131
194,7506.603000,4.471148
195,7506.604000,4.458673
196,7506.605000,4.454047
197,7506.606000,4.446779
198,7506.607000,4.442589
199,7506.608000,4.423051
200,7506.609000,4.387336
201,7506.610000,4.400408
202,7506.611000,4.438043
203,7506.612000,4.219828
204,7506.613000,4.353793
205,7506.614000,4.304136
206,7506.615000,4.28265
207,7506.616000,4.267616
208,7506.617000,4.255138
209,7506.618000,4.259013
