#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
115,7968.777000,-2.667665
116,7968.778000,-2.664282
117,7968.779000,-2.646
118,7968.780000,-2.694773
119,7968.781000,-2.734739
120,7968.782000,-2.711789
121,7968.783000,-2.818941
122,7968.784000,-2.839193
123,7968.785000,-2.862537
124,7968.786000,-2.85937
125,7968.787000,-2.825926
126,7968.788000,-2.810552
127,7968.789000,-2.818857
128,7968.790000,-2.81177
129,7968.791000,-2.801869
130,7968.792000,-2.78946
131,7968.793000,-2.771037
132,7968.794000,-2.811988
133,7968.795000,-2.888012
134,7968.796000,-2.911984
135,7968.797000,-2.814487
136,7968.798000,-2.76829
137,7968.799000,-2.785099
138,7968.800000,-2.834097
139,7968.801000,-2.764982
140,7968.802000,-2.749105
141,7968.803000,-2.752618
142,7968.804000,-2.744351
143,7968.805000,-2.742981
144,7968.806000,-2.735009
145,7968.807000,-2.719389
146,7968.808000,-2.702117
147,7968.809000,-2.680283
148,7968.810000,-2.668308
149,7968.811000,-2.667652
150,7968.812000,-2.627757
151,7968.813000,-2.63267
152,7968.814000,-2.611721
153,7968.815000,-2.591441
154,7968.816000,-2.55834
155,7968.817000,-2.510187
156,7968.818000,-2.516165
157,7968.819000,-2.462558
158,7968.820000,-2.427312
159,7968.821000,-2.397599
160,7968.822000,-2.36998
161,7968.823000,-2.353437
162,7968.824000,-2.392271
163,7968.825000,-2.498722
164,7968.826000,-2.286657
165,7968.827000,-2.212135
166,7968.828000,-2.22899
167,7968.829000,-2.258747
168,7968.830000,-2.101461
169,7968.831000,-2.138165
170,7968.832000,-2.083672
171,7968.833000,-2.066201
172,7968.834000,-2.057663
173,7968.835000,-1.976682
174,7968.836000,-1.931433
175,7968.837000,-1.88465
176,7968.838000,-1.906261
177,7968.839000,-1.827632
178,7968.840000,-1.783671
179,7968.841000,-1.769144
180,7968.842000,-1.724578
181,7968.843000,-1.681542
182,7968.844000,-1.691152
183,7968.845000,-1.636895
184,7968.846000,-1.61938
185,7968.847000,-1.565933
186,7968.848000,-1.535304
187,7968.849000,-1.543683
188,7968.850000,-1.546225
189,7968.851000,-1.534812
190,7968.852000,-1.554294
191,7968.853000,-1.587901
192,7968.854000,-1.596568
193,7968.855000,-1.578924
194,7968.856000,-1.58464
195,7968.857000,-1.5527
196,7968.858000,-1.534135
197,7968.859000,-1.537119
198,7968.860000,-1.522722
199,7968.861000,-1.507102
200,7968.862000,-1.503808
201,7968.863000,-1.486466
202,7968.864000,-1.465926
203,7968.865000,-1.477899
204,7968.866000,-1.495598
205,7968.867000,-1.488879
206,7968.868000,-1.507759
207,7968.869000,-1.534317
208,7968.870000,-1.519239
209,7968.871000,-1.459884
210,7968.872000,-1.492303
211,7968.873000,-1.560859
212,7968.874000,-1.582169
213,7968.875000,-1.559649
214,7968.876000,-1.525779
215,7968.877000,-1.500477
216,7968.878000,-1.524367
217,7968.879000,-1.462624
218,7968.880000,-1.477585
219,7968.881000,-1.507439
220,7968.882000,-1.391088
221,7968.883000,-1.384227
222,7968.884000,-1.50045
