#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7968.788000,4.574833
127,7968.789000,4.607337
128,7968.790000,4.632773
129,7968.791000,4.649779
130,7968.792000,4.666182
131,7968.793000,4.678847
132,7968.794000,4.694468
133,7968.795000,4.714084
134,7968.796000,4.727553
135,7968.797000,4.736161
136,7968.798000,4.761353
137,7968.799000,4.803271
138,7968.800000,4.752783
139,7968.801000,4.798259
140,7968.802000,4.824546
141,7968.803000,4.835948
142,7968.804000,4.851871
143,7968.805000,4.853104
144,7968.806000,4.863407
145,7968.807000,4.879913
146,7968.808000,4.891049
147,7968.809000,4.899773
148,7968.810000,4.909356
149,7968.811000,4.918441
150,7968.812000,4.926716
151,7968.813000,4.934428
152,7968.814000,4.93653
153,7968.815000,4.932496
154,7968.816000,4.924668
155,7968.817000,4.911582
156,7968.818000,4.899755
157,7968.819000,4.889656
158,7968.820000,4.876644
159,7968.821000,4.862272
160,7968.822000,4.856672
161,7968.823000,4.860491
162,7968.824000,4.863986
163,7968.825000,4.869436
164,7968.826000,4.944586
165,7968.827000,5.032138
166,7968.828000,4.987767
167,7968.829000,4.783062
168,7968.830000,4.755667
169,7968.831000,4.798944
170,7968.832000,4.809739
171,7968.833000,4.810095
172,7968.834000,4.785063
173,7968.835000,4.711811
174,7968.836000,4.669329
175,7968.837000,4.649543
176,7968.838000,4.457891
177,7968.839000,4.542124
178,7968.840000,4.508266
179,7968.841000,4.51614
180,7968.842000,4.518666
181,7968.843000,4.512143
182,7968.844000,4.5175
183,7968.845000,4.528915
184,7968.846000,4.536598
185,7968.847000,4.541926
186,7968.848000,4.547636
187,7968.849000,4.551778
188,7968.850000,4.557899
189,7968.851000,4.566086
190,7968.852000,4.51838
191,7968.853000,4.576274
192,7968.854000,4.591379
193,7968.855000,4.624258
194,7968.856000,4.629448
195,7968.857000,4.602581
196,7968.858000,4.600413
197,7968.859000,4.616318
198,7968.860000,4.616418
199,7968.861000,4.60918
200,7968.862000,4.614448
201,7968.863000,4.629277
202,7968.864000,4.648209
203,7968.865000,4.674963
204,7968.866000,4.685349
205,7968.867000,4.677328
206,7968.868000,4.701407
207,7968.869000,4.755002
208,7968.870000,4.749022
209,7968.871000,4.751597
