#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
111,7968.773000,-1.162346
112,7968.774000,-1.139252
113,7968.775000,-0.8903732
114,7968.776000,-0.5219116
115,7968.777000,0.03184509
116,7968.778000,0.2376556
117,7968.779000,0.04631042
118,7968.780000,-0.2260056
119,7968.781000,-0.7215271
120,7968.782000,-0.9204941
121,7968.783000,-0.7639313
122,7968.784000,-0.6202927
123,7968.785000,-0.3548584
124,7968.786000,-0.1585083
125,7968.787000,-0.0747757
126,7968.788000,0.09898376
127,7968.789000,0.311348
128,7968.790000,0.2711487
129,7968.791000,-0.02574158
130,7968.792000,-0.5436935
131,7968.793000,-1.36541
132,7968.794000,-0.5429459
133,7968.795000,2.08683
134,7968.796000,2.165154
135,7968.797000,-0.1205063
136,7968.798000,-0.624527
137,7968.799000,-0.02934265
138,7968.800000,1.402054
139,7968.801000,0.8406982
140,7968.802000,-0.05316162
141,7968.803000,0.4000778
142,7968.804000,0.3725662
143,7968.805000,0.9699631
144,7968.806000,1.101868
145,7968.807000,0.851059
146,7968.808000,0.7613831
147,7968.809000,0.6790314
148,7968.810000,0.4572144
149,7968.811000,0.4149246
150,7968.812000,0.2559433
151,7968.813000,0.08348846
152,7968.814000,-0.01713562
153,7968.815000,-0.04644012
154,7968.816000,-0.03238678
155,7968.817000,0.05134583
156,7968.818000,0.03308868
157,7968.819000,-0.09829712
158,7968.820000,-0.2192612
159,7968.821000,-0.370018
160,7968.822000,-0.5679169
161,7968.823000,-0.8034592
162,7968.824000,-0.2496948
163,7968.825000,1.177193
164,7968.826000,-2.824036
165,7968.827000,-4.937134
166,7968.828000,-2.912376
167,7968.829000,1.121948
168,7968.830000,0.8694687
169,7968.831000,0.5920181
170,7968.832000,0.1981049
171,7968.833000,0.2422104
172,7968.834000,0.2785721
173,7968.835000,0.748558
174,7968.836000,1.128105
175,7968.837000,0.04521179
176,7968.838000,3.681236
177,7968.839000,1.166901
178,7968.840000,1.540627
179,7968.841000,1.206924
180,7968.842000,0.9984741
181,7968.843000,0.9866714
182,7968.844000,1.003265
183,7968.845000,1.139633
184,7968.846000,1.141891
185,7968.847000,0.9943924
186,7968.848000,0.8636246
187,7968.849000,0.9837723
188,7968.850000,0.6714783
