#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
126,7968.788000,3.035172
127,7968.789000,3.027682
128,7968.790000,3.022608
129,7968.791000,3.02036
130,7968.792000,3.017095
131,7968.793000,3.013871
132,7968.794000,3.007525
133,7968.795000,2.997274
134,7968.796000,2.989622
135,7968.797000,2.983953
136,7968.798000,2.964987
137,7968.799000,2.932592
138,7968.800000,2.99331
139,7968.801000,2.960274
140,7968.802000,2.944004
141,7968.803000,2.939847
142,7968.804000,2.931912
143,7968.805000,2.938343
144,7968.806000,2.933462
145,7968.807000,2.920298
146,7968.808000,2.910535
147,7968.809000,2.900729
148,7968.810000,2.889499
149,7968.811000,2.878159
150,7968.812000,2.865634
151,7968.813000,2.852017
152,7968.814000,2.842999
153,7968.815000,2.838979
154,7968.816000,2.837496
155,7968.817000,2.840124
156,7968.818000,2.839509
157,7968.819000,2.835121
158,7968.820000,2.832075
159,7968.821000,2.828602
160,7968.822000,2.813836
161,7968.823000,2.787062
162,7968.824000,2.758175
163,7968.825000,2.724655
164,7968.826000,2.619241
165,7968.827000,2.499185
166,7968.828000,2.50832
167,7968.829000,2.675105
168,7968.830000,2.676362
169,7968.831000,2.620102
170,7968.832000,2.602699
171,7968.833000,2.606256
172,7968.834000,2.60795
173,7968.835000,2.627248
174,7968.836000,2.606853
175,7968.837000,2.54474
176,7968.838000,2.685076
177,7968.839000,2.585394
178,7968.840000,2.607383
179,7968.841000,2.604374
180,7968.842000,2.594933
181,7968.843000,2.578508
182,7968.844000,2.558942
183,7968.845000,2.534783
184,7968.846000,2.52764
185,7968.847000,2.539961
186,7968.848000,2.545434
187,7968.849000,2.548744
188,7968.850000,2.530552
189,7968.851000,2.484266
190,7968.852000,2.527337
191,7968.853000,2.496378
192,7968.854000,2.517967
193,7968.855000,2.544617
194,7968.856000,2.543194
195,7968.857000,2.511223
196,7968.858000,2.506556
197,7968.859000,2.522249
198,7968.860000,2.525287
199,7968.861000,2.524439
200,7968.862000,2.527851
201,7968.863000,2.531775
202,7968.864000,2.536311
203,7968.865000,2.542021
204,7968.866000,2.53471
205,7968.867000,2.513092
206,7968.868000,2.507654
207,7968.869000,2.516842
208,7968.870000,2.543911
209,7968.871000,2.532119
