#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7968.788000,8.596465
127,7968.789000,8.576541
128,7968.790000,8.565439
129,7968.791000,8.564046
130,7968.792000,8.567142
131,7968.793000,8.57875
132,7968.794000,8.576784
133,7968.795000,8.55984
134,7968.796000,8.599327
135,7968.797000,8.601017
136,7968.798000,8.572532
137,7968.799000,8.598505
138,7968.800000,8.590781
139,7968.801000,8.586358
140,7968.802000,8.583548
141,7968.803000,8.582424
142,7968.804000,8.579801
143,7968.805000,8.576619
144,7968.806000,8.574546
145,7968.807000,8.5734
146,7968.808000,8.570828
147,7968.809000,8.566998
148,7968.810000,8.571507
149,7968.811000,8.584768
150,7968.812000,8.549815
151,7968.813000,8.567254
152,7968.814000,8.566319
153,7968.815000,8.581128
154,7968.816000,8.546032
155,7968.817000,8.554795
156,7968.818000,8.571744
157,7968.819000,8.553886
158,7968.820000,8.556577
159,7968.821000,8.55529
160,7968.822000,8.553494
161,7968.823000,8.55112
162,7968.824000,8.548487
163,7968.825000,8.545432
164,7968.826000,8.542226
165,7968.827000,8.538889
166,7968.828000,8.535146
167,7968.829000,8.531046
168,7968.830000,8.526736
169,7968.831000,8.522179
170,7968.832000,8.520124
171,7968.833000,8.520876
172,7968.834000,8.507675
173,7968.835000,8.479739
174,7968.836000,8.51898
175,7968.837000,8.525209
176,7968.838000,8.451601
177,7968.839000,8.495484
178,7968.840000,8.493773
179,7968.841000,8.491731
180,7968.842000,8.486281
181,7968.843000,8.466217
182,7968.844000,8.514
183,7968.845000,8.484544
184,7968.846000,8.493587
185,7968.847000,8.49293
186,7968.848000,8.484296
187,7968.849000,8.466189
188,7968.850000,8.479901
189,7968.851000,8.527098
190,7968.852000,8.417163
191,7968.853000,8.486165
192,7968.854000,8.470009
193,7968.855000,8.452193
194,7968.856000,8.444958
195,7968.857000,8.438502
196,7968.858000,8.473598
197,7968.859000,8.503843
198,7968.860000,8.403496
199,7968.861000,8.449593
200,7968.862000,8.48362
201,7968.863000,8.446465
202,7968.864000,8.451691
203,7968.865000,8.445515
204,7968.866000,8.448399
205,7968.867000,8.460934
206,7968.868000,8.442169
207,7968.869000,8.463137
208,7968.870000,8.452196
209,7968.871000,8.431016
