#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
114,7968.776000,-1.363588
115,7968.777000,-1.362013
116,7968.778000,-1.360985
117,7968.779000,-1.360462
118,7968.780000,-1.362405
119,7968.781000,-1.366419
120,7968.782000,-1.363358
121,7968.783000,-1.352606
122,7968.784000,-1.338252
123,7968.785000,-1.317781
124,7968.786000,-1.360043
125,7968.787000,-1.471809
126,7968.788000,-1.618488
127,7968.789000,-1.819594
128,7968.790000,-1.779461
129,7968.791000,-1.469384
130,7968.792000,-1.046217
131,7968.793000,-0.4276287
132,7968.794000,-1.190555
133,7968.795000,-3.49307
134,7968.796000,-3.707636
135,7968.797000,-1.989936
136,7968.798000,-1.500837
137,7968.799000,-1.643376
138,7968.800000,-3.753346
139,7968.801000,-2.449991
140,7968.802000,-2.179795
141,7968.803000,-2.55284
142,7968.804000,-2.391914
143,7968.805000,-2.354232
144,7968.806000,-2.275773
145,7968.807000,-2.166065
146,7968.808000,-2.064927
147,7968.809000,-1.966078
148,7968.810000,-1.822884
149,7968.811000,-1.63858
150,7968.812000,-1.435171
151,7968.813000,-1.203385
152,7968.814000,-1.088027
153,7968.815000,-1.105041
154,7968.816000,-1.179869
155,7968.817000,-1.354155
156,7968.818000,-1.388663
157,7968.819000,-1.26232
158,7968.820000,-1.142161
159,7968.821000,-0.9681153
160,7968.822000,-0.7966137
161,7968.823000,-0.6451275
162,7968.824000,-0.2113223
163,7968.825000,0.512879
164,7968.826000,4.287411
165,7968.827000,5.249766
166,7968.828000,4.412322
167,7968.829000,-0.322736
168,7968.830000,0.2106782
169,7968.831000,0.2302302
170,7968.832000,0.419414
171,7968.833000,0.02747226
172,7968.834000,-0.3662821
173,7968.835000,-1.204508
174,7968.836000,-1.686486
175,7968.837000,-1.854161
176,7968.838000,-5.729424
177,7968.839000,-3.17425
178,7968.840000,-3.404771
179,7968.841000,-2.718584
180,7968.842000,-2.05863
181,7968.843000,-1.531308
182,7968.844000,-1.030152
183,7968.845000,-1.282521
184,7968.846000,-1.436048
185,7968.847000,-1.792842
186,7968.848000,-1.250102
187,7968.849000,-0.8771234
188,7968.850000,-0.3730218
189,7968.851000,-0.02098268
190,7968.852000,-1.620495
191,7968.853000,-0.6208177
192,7968.854000,-0.9143378
193,7968.855000,-0.8244743
194,7968.856000,-0.7192394
195,7968.857000,-0.5637004
196,7968.858000,-0.4315427
197,7968.859000,-0.3366185
198,7968.860000,-0.4575827
199,7968.861000,-0.3093691
200,7968.862000,-0.2989981
201,7968.863000,-0.2425077
202,7968.864000,-0.1988891
203,7968.865000,-0.1612471
204,7968.866000,-0.1465944
205,7968.867000,-0.1608479
206,7968.868000,-0.09150562
207,7968.869000,0.06517923
208,7968.870000,-0.2376406
209,7968.871000,0.009342521
210,7968.872000,-0.1298592
211,7968.873000,-0.3292943
212,7968.874000,-0.09711269
213,7968.875000,0.5868767
214,7968.876000,-0.9692826
215,7968.877000,0.1234092
216,7968.878000,0.4966354
217,7968.879000,1.837249
218,7968.880000,1.658074
219,7968.881000,-0.7439865
220,7968.882000,0.2227762
