#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
122,7460.158000,0.8979177
123,7460.159000,0.8830393
124,7460.160000,0.8684744
125,7460.161000,0.8552455
126,7460.162000,0.8402784
127,7460.163000,0.8233575
128,7460.164000,0.8068488
129,7460.165000,0.7900563
130,7460.166000,0.7753675
131,7460.167000,0.7632856
132,7460.168000,0.7521934
133,7460.169000,0.7428498
134,7460.170000,0.7344459
135,7460.171000,0.7269
136,7460.172000,0.7213225
137,7460.173000,0.7175889
138,7460.174000,0.7131115
139,7460.175000,0.7078602
140,7460.176000,0.7030439
141,7460.177000,0.6980376
142,7460.178000,0.6946958
143,7460.179000,0.6931909
144,7460.180000,0.6921079
145,7460.181000,0.6918918
146,7460.182000,0.6916454
147,7460.183000,0.6911407
148,7460.184000,0.6911376
149,7460.185000,0.6913525
150,7460.186000,0.6920079
151,7460.187000,0.6931679
152,7460.188000,0.69447
153,7460.189000,0.6959625
154,7460.190000,0.7000526
155,7460.191000,0.7069159
156,7460.192000,0.7154453
157,7460.193000,0.7263043
158,7460.194000,0.7380227
159,7460.195000,0.7505249
160,7460.196000,0.7651329
161,7460.197000,0.7815584
162,7460.198000,0.7908178
163,7460.199000,0.7921895
164,7460.200000,0.7897137
165,7460.201000,0.7808595
166,7460.202000,0.7711555
167,7460.203000,0.7608281
168,7460.204000,0.7448406
169,7460.205000,0.7242386
170,7460.206000,0.7311143
171,7460.207000,0.7679645
172,7460.208000,0.8203166
173,7460.209000,0.8971627
174,7460.210000,0.9246898
175,7460.211000,0.8964796
176,7460.212000,0.8557192
177,7460.213000,0.7828853
178,7460.214000,0.7535217
179,7460.215000,0.7760979
180,7460.216000,0.7979104
181,7460.217000,0.8386739
182,7460.218000,0.8603922
183,7460.219000,0.8559917
184,7460.220000,0.859894
185,7460.221000,0.8618475
186,7460.222000,0.8666451
187,7460.223000,0.8782709
188,7460.224000,0.8863087
189,7460.225000,0.8928326
190,7460.226000,0.9006038
191,7460.227000,0.9083481
192,7460.228000,0.9164221
193,7460.229000,0.9250069
194,7460.230000,0.9325995
195,7460.231000,0.9391902
196,7460.232000,0.9454992
197,7460.233000,0.9511814
198,7460.234000,0.9565211
199,7460.235000,0.9615515
