#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
117,7460.153000,-1.231897
118,7460.154000,-1.225595
119,7460.155000,-1.223404
120,7460.156000,-1.224087
121,7460.157000,-1.228775
122,7460.158000,-1.21029
123,7460.159000,-1.16615
124,7460.160000,-1.110238
125,7460.161000,-1.034988
126,7460.162000,-1.067154
127,7460.163000,-1.219254
128,7460.164000,-1.245641
129,7460.165000,-1.163405
130,7460.166000,-1.075246
131,7460.167000,-0.9330924
132,7460.168000,-0.930082
133,7460.169000,-1.088296
134,7460.170000,-1.104273
135,7460.171000,-1.011389
136,7460.172000,-0.9946629
137,7460.173000,-1.007998
138,7460.174000,-1.004312
139,7460.175000,-1.005899
140,7460.176000,-1.008858
141,7460.177000,-1.010237
142,7460.178000,-1.030336
143,7460.179000,-1.011843
144,7460.180000,-1.007141
145,7460.181000,-0.9944685
146,7460.182000,-0.9942393
147,7460.183000,-1.008168
148,7460.184000,-1.025145
149,7460.185000,-1.049927
150,7460.186000,-1.040144
151,7460.187000,-0.9910538
152,7460.188000,-0.9230742
153,7460.189000,-0.8316532
154,7460.190000,-0.9008937
155,7460.191000,-1.152652
156,7460.192000,-1.190204
157,7460.193000,-1.036655
158,7460.194000,-0.9162813
159,7460.195000,-0.9194928
160,7460.196000,-0.9243826
161,7460.197000,-1.033989
162,7460.198000,-1.054572
163,7460.199000,-0.9949069
164,7460.200000,-0.9864001
165,7460.201000,-0.9978616
166,7460.202000,-0.9930335
167,7460.203000,-0.9876777
168,7460.204000,-0.9833816
169,7460.205000,-0.977687
170,7460.206000,-0.9719846
171,7460.207000,-0.9661769
172,7460.208000,-0.9599767
173,7460.209000,-0.9535928
174,7460.210000,-0.9461077
175,7460.211000,-0.9374474
176,7460.212000,-0.9282086
177,7460.213000,-0.9181696
178,7460.214000,-0.909278
179,7460.215000,-0.9017694
180,7460.216000,-0.8945484
181,7460.217000,-0.8881742
182,7460.218000,-0.8816451
183,7460.219000,-0.8748792
184,7460.220000,-0.8688717
185,7460.221000,-0.863422
186,7460.222000,-0.8568999
187,7460.223000,-0.8492996
188,7460.224000,-0.8412805
189,7460.225000,-0.8324397
190,7460.226000,-0.8239969
191,7460.227000,-0.8160312
192,7460.228000,-0.8076043
193,7460.229000,-0.7989881
194,7460.230000,-0.7906637
195,7460.231000,-0.7825794
196,7460.232000,-0.7747074
197,7460.233000,-0.7671478
198,7460.234000,-0.7593979
199,7460.235000,-0.7514957
200,7460.236000,-0.7437459
201,7460.237000,-0.7360734
202,7460.238000,-0.7284666
203,7460.239000,-0.7209659
204,7460.240000,-0.7135113
205,7460.241000,-0.7061141
206,7460.242000,-0.6988851
207,7460.243000,-0.6918285
208,7460.244000,-0.6849056
209,7460.245000,-0.678146
210,7460.246000,-0.6708546
211,7460.247000,-0.6629646
212,7460.248000,-0.6548307
213,7460.249000,-0.6462579
214,7460.250000,-0.6376452
215,7460.251000,-0.629017
216,7460.252000,-0.6200019
217,7460.253000,-0.6106791
218,7460.254000,-0.6015577
219,7460.255000,-0.5926332
