#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
126,7460.162000,1.497378
127,7460.163000,1.477339
128,7460.164000,1.514287
129,7460.165000,1.486468
130,7460.166000,1.486824
131,7460.167000,1.474411
132,7460.168000,1.485997
133,7460.169000,1.467948
134,7460.170000,1.464432
135,7460.171000,1.457847
136,7460.172000,1.448636
137,7460.173000,1.436738
138,7460.174000,1.433064
139,7460.175000,1.438017
140,7460.176000,1.402467
141,7460.177000,1.40535
142,7460.178000,1.40727
143,7460.179000,1.38729
144,7460.180000,1.380406
145,7460.181000,1.370851
146,7460.182000,1.359894
147,7460.183000,1.347533
148,7460.184000,1.341297
149,7460.185000,1.34159
150,7460.186000,1.30883
151,7460.187000,1.314709
152,7460.188000,1.300737
153,7460.189000,1.290685
154,7460.190000,1.280129
155,7460.191000,1.269049
156,7460.192000,1.2577
157,7460.193000,1.245949
158,7460.194000,1.234146
159,7460.195000,1.222322
160,7460.196000,1.210297
161,7460.197000,1.198162
162,7460.198000,1.18602
163,7460.199000,1.173884
164,7460.200000,1.165871
165,7460.201000,1.162445
166,7460.202000,1.139978
167,7460.203000,1.140104
168,7460.204000,1.129377
169,7460.205000,1.121487
170,7460.206000,1.113525
171,7460.207000,1.105526
172,7460.208000,1.097734
173,7460.209000,1.090008
174,7460.210000,1.082911
175,7460.211000,1.076493
176,7460.212000,1.070368
177,7460.213000,1.064674
178,7460.214000,1.058665
179,7460.215000,1.052238
180,7460.216000,1.046006
181,7460.217000,1.039772
182,7460.218000,1.032492
183,7460.219000,1.024113
184,7460.220000,1.020917
185,7460.221000,1.023219
186,7460.222000,0.9979103
187,7460.223000,1.005757
188,7460.224000,0.9969177
189,7460.225000,0.991639
190,7460.226000,0.9862959
191,7460.227000,0.9808657
192,7460.228000,0.9755771
193,7460.229000,0.9703536
194,7460.230000,0.9660779
195,7460.231000,0.9628602
196,7460.232000,0.9610347
197,7460.233000,0.9609429
198,7460.234000,0.9571153
199,7460.235000,0.9492821
200,7460.236000,0.9624063
201,7460.237000,0.9702592
202,7460.238000,0.9372588
203,7460.239000,0.9441061
204,7460.240000,0.9201592
205,7460.241000,0.8929779
206,7460.242000,0.8859267
207,7460.243000,0.9010096
208,7460.244000,0.8807363
