#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
120,7460.156000,0.8302407
121,7460.157000,0.8512999
122,7460.158000,0.8138084
123,7460.159000,0.7768881
124,7460.160000,0.7555014
125,7460.161000,0.7651993
126,7460.162000,0.7673443
127,7460.163000,0.7937924
128,7460.164000,0.7945064
129,7460.165000,0.7723727
130,7460.166000,0.7342688
131,7460.167000,0.7136887
132,7460.168000,0.7164977
133,7460.169000,0.7578129
134,7460.170000,0.7540106
135,7460.171000,0.7082924
136,7460.172000,0.7032285
137,7460.173000,0.7263628
138,7460.174000,0.7281675
139,7460.175000,0.7197683
140,7460.176000,0.7181492
141,7460.177000,0.716926
142,7460.178000,0.7189285
143,7460.179000,0.7260864
144,7460.180000,0.7283903
145,7460.181000,0.7264115
146,7460.182000,0.7441872
147,7460.183000,0.7294593
148,7460.184000,0.7355739
149,7460.185000,0.7449915
150,7460.186000,0.749417
151,7460.187000,0.750566
152,7460.188000,0.7543796
153,7460.189000,0.7593118
154,7460.190000,0.7646502
155,7460.191000,0.7711863
156,7460.192000,0.7795538
157,7460.193000,0.7899979
158,7460.194000,0.7937757
159,7460.195000,0.8012834
160,7460.196000,0.8000363
161,7460.197000,0.792235
162,7460.198000,0.8241087
163,7460.199000,0.8417394
164,7460.200000,0.8742052
165,7460.201000,0.9068274
166,7460.202000,0.8788382
167,7460.203000,0.8042564
168,7460.204000,0.7801613
169,7460.205000,0.806806
170,7460.206000,0.8571978
171,7460.207000,0.9272519
172,7460.208000,0.9545802
173,7460.209000,0.9228649
174,7460.210000,0.8669299
175,7460.211000,0.7861935
176,7460.212000,0.7876599
177,7460.213000,0.8910372
178,7460.214000,0.8985802
179,7460.215000,0.8865502
180,7460.216000,0.9190229
181,7460.217000,0.930135
182,7460.218000,0.8996433
183,7460.219000,0.8309774
184,7460.220000,0.8733745
185,7460.221000,0.9330467
186,7460.222000,0.9494361
187,7460.223000,0.9048734
188,7460.224000,0.9121163
189,7460.225000,0.9326073
190,7460.226000,0.9328887
191,7460.227000,0.9183676
192,7460.228000,0.9454998
193,7460.229000,0.9372895
194,7460.230000,0.9335038
195,7460.231000,0.9436635
196,7460.232000,0.9452583
197,7460.233000,0.9490234
198,7460.234000,0.9523686
199,7460.235000,0.9552685
200,7460.236000,0.958317
201,7460.237000,0.9613273
202,7460.238000,0.9642269
203,7460.239000,0.9670675
204,7460.240000,0.9697485
205,7460.241000,0.9722601
206,7460.242000,0.9744431
207,7460.243000,0.9762496
208,7460.244000,0.9777381
209,7460.245000,0.9788421
210,7460.246000,0.981471
211,7460.247000,0.9857977
212,7460.248000,0.9871584
213,7460.249000,0.9857045
214,7460.250000,0.9863646
215,7460.251000,0.9884313
216,7460.252000,0.9891512
217,7460.253000,0.9892277
218,7460.254000,0.9894877
219,7460.255000,0.989612
220,7460.256000,0.9894977
221,7460.257000,0.9892166
222,7460.258000,0.9886949
223,7460.259000,0.9879219
224,7460.260000,0.9869403
225,7460.261000,0.9857311
226,7460.262000,0.9845611
227,7460.263000,0.9834583
